freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
42.04,0.0,1.63,1.6318,2.0,香港,810000,0,flat,25.72,0,up
41.57,0.0,1.56,1.5972,10.0,漳州市,350600,1,flat,26.72,1,up
41.43,0.0,1.55,1.5318,9.0,咸阳市,610400,2,flat,26.74,2,up
41.78,0.0,1.47,1.4478,4.0,德阳市,510600,6,up,28.48,3,up
45.02,0.0,1.46,1.4721,1.0,中山市,442000,3,down,30.74,4,up
42.99,0.0,1.45,1.4432,-1.0,深圳市,440300,8,up,29.56,5,down
46.67,0.0,1.45,1.4466,-2.0,长春市,220100,7,up,32.14,6,down
44.79,0.0,1.45,1.4428,-4.0,东莞市,441900,9,up,30.89,7,down
41.39,0.0,1.45,1.4711,-3.0,银川市,640100,4,down,28.64,8,down
42.33,0.0,1.44,1.465,9.0,南充市,511300,5,down,29.35,9,up
45.2,0.0,1.43,1.4268,0.0,成都市,510100,11,up,31.63,10,flat
40.35,0.0,1.43,1.4291,-1.0,昆明市,530100,10,down,28.28,11,down
41.61,0.0,1.43,1.4069,5.0,赣州市,360700,14,up,29.18,12,up
46.07,0.0,1.42,1.3981,-1.0,大连市,210200,16,up,32.52,13,down
52.91,0.0,1.41,1.4021,2.0,鄂尔多斯市,150600,15,up,37.64,14,up
45.2,0.0,1.4,1.407,5.0,佛山市,440600,13,down,32.25,15,up
37.73,0.0,1.4,1.408,-2.0,海口市,460100,12,down,26.98,16,down
42.89,0.0,1.39,1.3919,-3.0,广州市,440100,17,flat,30.75,17,down
47.08,0.0,1.39,1.385,3.0,唐山市,130200,18,flat,33.91,18,up
38.33,0.0,1.38,1.3697,2.0,南阳市,411300,23,up,27.69,19,up
40.49,0.0,1.38,1.3763,-1.0,宿迁市,321300,19,down,29.25,20,down
43.68,0.0,1.38,1.3759,2.0,西安市,610100,20,down,31.61,21,up
40.4,0.0,1.38,1.3543,0.0,新乡市,410700,30,up,29.38,22,flat
39.58,0.0,1.37,1.3686,1.0,温州市,330300,24,up,28.8,23,up
45.9,0.0,1.37,1.3719,-4.0,济南市,370100,21,down,33.41,24,down
43.0,0.0,1.37,1.3558,-4.0,沈阳市,210100,28,up,31.38,25,down
42.7,0.0,1.37,1.3709,0.0,衢州市,330800,22,down,31.27,26,flat
47.3,0.0,1.37,1.3546,5.0,江门市,440700,29,up,34.63,27,up
42.6,0.0,1.36,1.3581,-9.0,长沙市,430100,27,down,31.3,28,down
43.09,0.0,1.36,1.3416,-7.0,廊坊市,131000,37,up,31.69,29,down
41.65,0.0,1.36,1.3515,6.0,南宁市,450100,31,up,30.67,30,up
38.26,0.0,1.36,1.3613,-1.0,桂林市,450300,26,down,28.18,31,down
41.79,0.0,1.36,1.3489,5.0,清远市,441800,34,up,30.79,32,up
42.67,0.0,1.35,1.3509,2.0,湛江市,440800,32,down,31.53,33,up
38.9,0.0,1.34,1.3498,1.0,柳州市,450200,33,down,28.93,34,up
48.45,0.0,1.34,1.3469,2.0,盐城市,320900,35,flat,36.08,35,up
39.76,0.0,1.34,1.3658,-1.0,金华市,330700,25,down,29.63,36,down
44.98,0.0,1.34,1.3213,1.0,邢台市,130500,50,up,33.52,37,up
42.57,0.0,1.34,1.3463,-5.0,茂名市,440900,36,down,31.77,38,down
45.3,0.0,1.34,1.3326,-3.0,青岛市,370200,42,up,33.85,39,down
41.16,0.0,1.34,1.3286,1.0,三亚市,460200,43,up,30.8,40,up
44.06,0.0,1.34,1.336,2.0,惠州市,441300,39,down,32.99,41,up
46.35,0.0,1.34,1.3397,1.0,绵阳市,510700,38,down,34.72,42,up
42.56,0.0,1.33,1.3341,-2.0,绍兴市,330600,41,down,31.9,43,down
41.67,0.0,1.33,1.3277,-3.0,杭州市,330100,44,flat,31.24,44,down
43.6,0.0,1.33,1.3157,4.0,韶关市,440200,54,up,32.71,45,up
46.22,0.0,1.33,1.3246,0.0,潍坊市,370700,47,up,34.69,46,flat
47.7,0.0,1.33,1.3353,-2.0,贵阳市,520100,40,down,35.82,47,down
41.32,0.0,1.33,1.3271,-1.0,上海市,310000,45,down,31.1,48,down
48.77,0.0,1.33,1.319,7.0,郑州市,410100,51,up,36.76,49,up
