freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
45.14,0.0,2.93,2.7457,60.0,佛山市,440600,0,flat,15.39,0,up
44.94,0.0,2.74,2.6444,30.0,中山市,442000,2,up,16.42,1,up
43.5,0.0,2.71,2.7309,30.0,韶关市,440200,1,down,16.06,2,up
37.69,0.0,2.69,2.5551,-12.0,海口市,460100,6,up,14.03,3,down
41.74,0.0,2.68,2.6066,14.0,清远市,441800,4,flat,15.56,4,up
51.04,0.0,2.66,2.5384,11.0,珠海市,440400,7,up,19.17,5,up
44.0,0.0,2.63,2.5703,33.0,惠州市,441300,5,down,16.7,6,up
41.42,0.0,2.59,2.3764,9.0,咸阳市,610400,10,up,15.98,7,up
45.82,0.0,2.55,2.6194,2.0,济南市,370100,3,down,17.95,8,up
45.16,0.0,2.49,2.4164,-22.0,成都市,510100,9,flat,18.1,9,down
47.63,0.0,2.49,2.4221,-1.0,重庆市,500000,8,down,19.16,10,down
47.2,0.0,2.41,2.3337,22.0,江门市,440700,12,up,19.58,11,up
42.98,0.0,2.39,2.291,7.0,深圳市,440300,17,up,18.0,12,up
49.81,0.0,2.38,2.1793,22.0,太原市,140100,23,up,20.96,13,up
47.02,0.0,2.37,2.2273,13.0,肇庆市,441200,19,up,19.82,14,up
47.66,0.0,2.37,2.3045,-10.0,贵阳市,520100,16,up,20.12,15,down
41.53,0.0,2.37,2.3577,14.0,赣州市,360700,11,down,17.54,16,up
42.57,0.0,2.33,2.3149,-5.0,长沙市,430100,15,down,18.29,17,down
40.34,0.0,2.3,2.2403,4.0,昆明市,530100,18,flat,17.55,18,up
42.54,0.0,2.3,2.1289,11.0,湛江市,440800,29,up,18.53,19,up
45.99,0.0,2.25,2.3258,-2.0,大连市,210200,13,down,20.4,20,down
44.73,0.0,2.24,2.1897,-3.0,东莞市,441900,22,up,19.99,21,down
43.66,0.0,2.23,2.0629,3.0,西安市,610100,37,up,19.6,22,up
46.14,0.0,2.21,2.1542,1.0,绵阳市,510700,24,up,20.83,23,up
48.82,0.0,2.2,2.2016,0.0,厦门市,350200,20,down,22.2,24,flat
42.94,0.0,2.19,2.3222,-6.0,沈阳市,210100,14,down,19.62,25,down
41.66,0.0,2.18,2.0384,-12.0,德阳市,510600,42,up,19.13,26,down
45.88,0.0,2.15,2.1164,-4.0,北京市,110000,31,up,21.35,27,down
40.45,0.0,2.14,2.1979,7.0,宿迁市,321300,21,down,18.94,28,up
46.12,0.0,2.11,2.1173,-13.0,南昌市,360100,30,up,21.86,29,down
41.29,0.0,2.1,2.1089,2.0,上海市,310000,33,up,19.62,30,up
42.89,0.0,2.1,1.9911,10.0,广州市,440100,47,up,20.44,31,up
38.29,0.0,2.07,2.0557,2.0,南阳市,411300,40,up,18.49,32,up
41.79,0.0,2.07,2.0576,1.0,衡阳市,430400,39,up,20.23,33,up
39.58,0.0,2.06,2.1343,9.0,温州市,330300,28,down,19.18,34,up
41.25,0.0,2.06,2.1541,-10.0,保定市,130600,25,down,19.99,35,down
45.22,0.0,2.04,2.1154,-7.0,青岛市,370200,32,down,22.22,36,down
45.75,0.0,2.03,2.0426,20.0,徐州市,320300,41,up,22.55,37,up
46.04,0.0,2.03,2.1369,2.0,烟台市,370600,27,down,22.72,38,up
38.89,0.0,2.02,1.912,0.0,柳州市,450200,51,up,19.25,39,flat
41.53,0.0,2.0,2.0173,3.0,漳州市,350600,43,up,20.73,40,up
42.83,0.0,1.98,2.0933,5.0,宁波市,330200,35,down,21.59,41,up
41.87,0.0,1.95,1.9031,4.0,香港,810000,52,up,21.47,42,up
42.65,0.0,1.95,2.1374,13.0,衢州市,330800,26,down,21.89,43,up
46.63,0.0,1.95,2.0624,-19.0,长春市,220100,38,down,23.96,44,down
46.11,0.0,1.94,2.0101,4.0,潍坊市,370700,44,down,23.8,45,up
45.53,0.0,1.94,1.9587,7.0,南京市,320100,48,up,23.51,46,up
48.44,0.0,1.93,2.001,1.0,苏州市,320500,45,down,25.07,47,up
46.79,0.0,1.93,1.8662,18.0,泉州市,350500,53,up,24.26,48,up
46.47,0.0,1.93,2.0856,5.0,无锡市,320200,36,down,24.12,49,up
41.64,0.0,1.92,1.8101,3.0,南宁市,450100,57,up,21.69,50,up
38.21,0.0,1.92,1.8385,-3.0,桂林市,450300,54,up,19.91,51,down
45.72,0.0,1.92,2.1066,14.0,台州市,331000,34,down,23.83,52,up
47.87,0.0,1.92,1.957,-3.0,天津市,120000,49,down,24.96,53,down
46.34,0.0,1.9,1.9951,5.0,常州市,320400,46,down,24.43,54,up
41.35,0.0,1.89,1.7977,5.0,银川市,640100,58,up,21.92,55,up
42.26,0.0,1.85,1.7583,42.0,南充市,511300,63,up,22.79,56,up
52.87,0.0,1.82,1.7634,5.0,鄂尔多斯市,150600,62,up,29.0,57,up
39.73,0.0,1.81,1.9515,11.0,金华市,330700,50,down,21.98,58,up
41.66,0.0,1.79,1.8337,1.0,杭州市,330100,55,down,23.33,59,up
43.58,0.0,1.74,1.7663,3.0,连云港市,320700,61,up,25.05,60,up
41.14,0.0,1.72,1.6108,-6.0,三亚市,460200,72,up,23.98,61,down
43.35,0.0,1.72,1.8275,4.0,淄博市,370300,56,down,25.28,62,up
50.72,0.0,1.71,1.7896,6.0,南通市,320600,59,down,29.68,63,up
48.33,0.0,1.7,1.7299,0.0,盐城市,320900,66,up,28.41,64,flat
46.8,0.0,1.7,1.7885,1.0,镇江市,321100,60,down,27.6,65,up
