freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.95,0.0,1.6,1.5954,-2.0,香港,810000,0,flat,26.3,0,down
41.47,0.0,1.4,1.4248,2.0,咸阳市,610400,2,up,29.63,1,up
42.4,0.0,1.39,1.4379,11.0,南充市,511300,1,down,30.51,2,up
40.49,0.0,1.38,1.3814,1.0,宿迁市,321300,4,up,29.34,3,up
41.73,0.0,1.38,1.4047,-1.0,德阳市,510600,3,down,30.27,4,down
45.19,0.0,1.36,1.3553,-1.0,成都市,510100,9,up,33.14,5,down
46.66,0.0,1.36,1.3616,-3.0,长春市,220100,7,up,34.25,6,down
41.41,0.0,1.36,1.3789,-2.0,银川市,640100,5,down,30.45,7,down
38.26,0.0,1.35,1.3649,1.0,桂林市,450300,6,down,28.34,8,up
43.08,0.0,1.35,1.312,-19.0,廊坊市,131000,19,up,31.91,9,down
42.98,0.0,1.35,1.3495,-3.0,沈阳市,210100,11,up,31.84,10,down
40.36,0.0,1.35,1.345,1.0,昆明市,530100,12,up,29.91,11,up
46.07,0.0,1.35,1.3374,0.0,大连市,210200,14,up,34.2,12,flat
45.88,0.0,1.34,1.3286,1.0,济南市,370100,15,up,34.34,13,up
38.91,0.0,1.33,1.3503,-1.0,柳州市,450200,10,down,29.23,14,down
42.71,0.0,1.33,1.3276,1.0,衢州市,330800,16,up,32.13,15,up
43.68,0.0,1.33,1.3404,-1.0,西安市,610100,13,down,32.91,16,down
41.6,0.0,1.33,1.3575,-1.0,漳州市,350600,8,down,31.37,17,down
42.59,0.0,1.31,1.316,-6.0,茂名市,440900,18,flat,32.5,18,down
45.8,0.0,1.31,1.2995,1.0,台州市,331000,23,up,35.02,19,up
47.7,0.0,1.3,1.3039,-5.0,贵阳市,520100,21,up,36.56,20,down
37.72,0.0,1.3,1.3271,-1.0,海口市,460100,17,down,28.92,21,down
47.13,0.0,1.3,1.3025,1.0,唐山市,130200,22,flat,36.19,22,up
41.3,0.0,1.3,1.2854,0.0,上海市,310000,29,up,31.73,23,flat
39.6,0.0,1.3,1.294,2.0,温州市,330300,27,up,30.43,24,up
40.5,0.0,1.3,1.2982,-2.0,新乡市,410700,25,flat,31.18,25,down
42.61,0.0,1.29,1.288,1.0,长沙市,430100,28,up,33.09,26,up
43.44,0.0,1.29,1.285,1.0,淄博市,370300,30,up,33.75,27,up
45.08,0.0,1.29,1.2993,4.0,中山市,442000,24,down,35.06,28,up
42.59,0.0,1.29,1.2823,1.0,绍兴市,330600,31,up,33.14,29,up
42.64,0.0,1.28,1.2963,0.0,湛江市,440800,26,down,33.28,30,flat
38.33,0.0,1.28,1.3069,0.0,南阳市,411300,20,down,29.96,31,flat
46.23,0.0,1.28,1.2798,-1.0,潍坊市,370700,32,flat,36.14,32,down
39.76,0.0,1.28,1.2673,-2.0,金华市,330700,43,up,31.13,33,down
42.86,0.0,1.28,1.2646,2.0,宁波市,330200,47,up,33.58,34,up
53.13,0.0,1.28,1.2788,-2.0,鄂尔多斯市,150600,35,flat,41.66,35,down
41.68,0.0,1.28,1.2665,0.0,杭州市,330100,45,up,32.69,36,flat
46.28,0.0,1.27,1.276,-3.0,绵阳市,510700,37,flat,36.32,37,down
46.15,0.0,1.27,1.2696,0.0,烟台市,370600,40,up,36.3,38,flat
51.14,0.0,1.27,1.2708,4.0,珠海市,440400,39,flat,40.32,39,up
41.67,0.0,1.27,1.2794,0.0,南宁市,450100,33,down,32.93,40,flat
41.16,0.0,1.26,1.2752,0.0,三亚市,460200,38,down,32.56,41,flat
47.68,0.0,1.26,1.266,0.0,重庆市,500000,46,up,37.74,42,flat
44.42,0.0,1.26,1.2686,-6.0,哈尔滨市,230100,41,down,35.16,43,down
39.77,0.0,1.26,1.2794,2.0,汕头市,440500,34,down,31.5,44,up
43.09,0.0,1.26,1.2588,-4.0,泰安市,370900,50,up,34.26,45,down
42.55,0.0,1.26,1.2541,-1.0,嘉兴市,330400,56,up,33.84,46,down
45.3,0.0,1.26,1.2613,-3.0,青岛市,370200,49,up,36.07,47,down
41.82,0.0,1.26,1.2785,2.0,清远市,441800,36,down,33.31,48,up
48.55,0.0,1.25,1.2445,0.0,盐城市,320900,63,up,38.72,49,flat
48.05,0.0,1.25,1.2392,2.0,济宁市,370800,67,up,38.35,50,up
43.66,0.0,1.25,1.2548,1.0,连云港市,320700,54,up,34.85,51,up
43.35,0.0,1.25,1.2514,1.0,湖州市,330500,58,up,34.65,52,up
49.03,0.0,1.25,1.2564,0.0,郑州市,410100,53,flat,39.2,53,flat
41.9,0.0,1.25,1.2548,2.0,衡阳市,430400,55,up,33.52,54,up
41.65,0.0,1.25,1.2586,-5.0,赣州市,360700,51,down,33.34,55,down
45.81,0.0,1.25,1.2575,1.0,徐州市,320300,52,down,36.67,56,up
44.38,0.0,1.25,1.268,4.0,西宁市,630100,42,down,35.53,57,up
44.83,0.0,1.25,1.248,-1.0,东莞市,441900,61,up,35.92,58,down
43.01,0.0,1.25,1.254,-3.0,深圳市,440300,57,down,34.47,59,down
42.54,0.0,1.25,1.2417,-1.0,芜湖市,340200,64,up,34.09,60,down
41.26,0.0,1.25,1.2407,1.0,滁州市,341100,66,up,33.08,61,up
41.34,0.0,1.25,1.2638,-1.0,保定市,130600,48,down,33.16,62,down
47.87,0.0,1.25,1.2671,1.0,张家口市,130700,44,down,38.43,63,up
46.41,0.0,1.24,1.2416,1.0,常州市,320400,65,up,37.28,64,up
46.5,0.0,1.24,1.235,0.0,无锡市,320200,70,up,37.36,65,flat
46.91,0.0,1.24,1.212,4.0,淮安市,320800,84,up,37.72,66,up
46.91,0.0,1.23,1.2487,-1.0,镇江市,321100,60,down,38.02,67,down
45.07,0.0,1.23,1.2495,0.0,邢台市,130500,59,down,36.55,68,flat
47.33,0.0,1.23,1.2455,1.0,江门市,440700,62,down,38.45,69,up
45.92,0.0,1.23,1.2249,1.0,北京市,110000,77,up,37.31,70,up
47.92,0.0,1.23,1.2332,-1.0,天津市,120000,71,flat,38.95,71,down
43.6,0.0,1.23,1.2282,1.0,韶关市,440200,73,up,35.44,72,up
49.89,0.0,1.23,1.238,1.0,太原市,140100,68,down,40.6,73,up
48.48,0.0,1.23,1.2192,1.0,苏州市,320500,81,up,39.45,74,up
45.62,0.0,1.23,1.226,0.0,南京市,320100,76,up,37.16,75,flat
44.09,0.0,1.23,1.2267,1.0,惠州市,441300,75,down,35.91,76,up
45.23,0.0,1.22,1.2309,0.0,佛山市,440600,72,down,36.99,77,flat
45.34,0.0,1.22,1.2228,2.0,洛阳市,410300,78,flat,37.24,78,up
42.91,0.0,1.22,1.2268,-2.0,广州市,440100,74,down,35.24,79,down
47.47,0.0,1.21,1.2166,0.0,扬州市,321000,83,up,39.14,80,flat
47.19,0.0,1.21,1.2351,2.0,肇庆市,441200,69,down,38.95,81,up
50.95,0.0,1.21,1.2225,0.0,泰州市,321200,79,down,42.16,82,flat
48.88,0.0,1.2,1.2194,-1.0,厦门市,350200,80,down,40.79,83,down
42.08,0.0,1.19,1.2021,-4.0,邯郸市,130400,85,up,35.27,84,down
46.22,0.0,1.19,1.1928,-1.0,南昌市,360100,86,up,38.76,85,down
42.5,0.0,1.19,1.2176,-5.0,德州市,371400,82,down,35.68,86,down
50.87,0.0,1.19,1.1893,1.0,南通市,320600,89,up,42.74,87,up
42.52,0.0,1.19,1.192,-2.0,兰州市,620100,87,down,35.83,88,down
46.79,0.0,1.18,1.1802,-4.0,福州市,350100,91,up,39.8,89,down
44.13,0.0,1.17,1.1657,2.0,合肥市,340100,94,up,37.79,90,up
48.17,0.0,1.17,1.1681,-3.0,石家庄市,130100,92,up,41.3,91,down
46.89,0.0,1.17,1.1803,0.0,泉州市,350500,90,down,40.21,92,flat
52.1,0.0,1.16,1.1677,2.0,呼和浩特市,150100,93,flat,44.78,93,up
50.86,0.0,1.16,1.1905,-5.0,临沂市,371300,88,down,43.81,94,down
48.48,0.0,1.15,1.1476,-3.0,武汉市,420100,95,flat,42.04,95,down
43.02,0.0,1.12,1.11,-25.0,沧州市,130900,96,flat,38.27,96,down
40.48,0.0,1.11,1.0926,2.0,伊犁州,654000,97,flat,36.41,97,up
51.37,0.0,1.09,1.0898,-6.0,乌鲁木齐市,650100,98,flat,46.95,98,down
49.02,0.0,1.02,0.9838,3.0,大同市,140200,99,flat,47.97,99,up
