freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.46,0.0,1.58,1.5862,4.0,咸阳市,610400,0,flat,26.24,0,up
41.56,0.0,1.57,1.5372,11.0,漳州市,350600,1,flat,26.48,1,up
41.57,0.0,1.53,1.5271,5.0,赣州市,360700,2,flat,27.18,2,up
48.21,0.0,1.52,1.5056,29.0,临沂市,371300,3,flat,31.75,3,up
44.03,0.0,1.52,1.4776,15.0,惠州市,441300,7,up,29.04,4,up
45.19,0.0,1.5,1.4998,-7.0,成都市,510100,4,down,30.21,5,down
45.84,0.0,1.49,1.4814,0.0,济南市,370100,6,flat,30.74,6,flat
41.68,0.0,1.49,1.4836,2.0,德阳市,510600,5,down,28.0,7,up
46.66,0.0,1.48,1.4487,-2.0,长春市,220100,11,up,31.6,8,down
42.96,0.0,1.46,1.4534,1.0,沈阳市,210100,9,flat,29.39,9,up
37.72,0.0,1.46,1.4441,2.0,海口市,460100,13,up,25.81,10,up
51.12,0.0,1.46,1.4329,8.0,珠海市,440400,18,up,34.98,11,up
38.9,0.0,1.46,1.4278,4.0,柳州市,450200,19,up,26.74,12,up
42.16,0.0,1.45,1.4519,11.0,南充市,511300,10,down,28.98,13,up
41.39,0.0,1.45,1.4214,-1.0,银川市,640100,23,up,28.47,14,down
43.67,0.0,1.45,1.4423,3.0,西安市,610100,14,down,30.09,15,up
40.52,0.0,1.45,1.4271,2.0,宿迁市,321300,20,up,27.97,16,up
46.08,0.0,1.45,1.4381,3.0,烟台市,370600,17,flat,31.86,17,up
46.01,0.0,1.44,1.4659,-2.0,大连市,210200,8,down,31.91,18,down
41.15,0.0,1.44,1.4137,6.0,滁州市,341100,25,up,28.58,19,up
38.23,0.0,1.43,1.4452,0.0,桂林市,450300,12,down,26.66,20,flat
41.27,0.0,1.43,1.4383,2.0,保定市,130600,16,down,28.86,21,up
43.0,0.0,1.43,1.4215,5.0,深圳市,440300,22,flat,30.06,22,up
41.78,0.0,1.43,1.4107,6.0,清远市,441800,27,up,29.26,23,up
45.04,0.0,1.43,1.4124,5.0,中山市,442000,26,up,31.58,24,up
