freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.45,0.0,1.59,1.6052,3.0,咸阳市,610400,0,flat,26.13,0,up
41.57,0.0,1.54,1.5197,8.0,漳州市,350600,1,flat,27.05,1,up
41.56,0.0,1.53,1.5096,4.0,赣州市,360700,2,flat,27.22,2,up
48.22,0.0,1.51,1.4738,29.0,临沂市,371300,6,up,32.03,3,up
45.19,0.0,1.5,1.5055,-7.0,成都市,510100,3,down,30.13,4,down
41.71,0.0,1.48,1.4754,1.0,德阳市,510600,5,flat,28.11,5,up
45.84,0.0,1.48,1.4946,-2.0,济南市,370100,4,down,30.94,6,down
44.04,0.0,1.48,1.4472,11.0,惠州市,441300,12,up,29.8,7,up
46.02,0.0,1.47,1.4729,-3.0,大连市,210200,7,down,31.4,8,down
42.97,0.0,1.45,1.4674,-1.0,沈阳市,210100,8,down,29.56,9,down
42.19,0.0,1.45,1.4647,9.0,南充市,511300,9,down,29.06,10,up
46.67,0.0,1.45,1.4392,-4.0,长春市,220100,15,up,32.21,11,down
38.22,0.0,1.45,1.449,0.0,桂林市,450300,11,down,26.45,12,flat
37.72,0.0,1.44,1.4284,1.0,海口市,460100,18,up,26.12,13,up
43.67,0.0,1.44,1.4407,2.0,西安市,610100,13,down,30.28,14,up
40.39,0.0,1.44,1.3879,6.0,新乡市,410700,33,up,28.05,15,up
41.28,0.0,1.44,1.4562,2.0,保定市,130600,10,down,28.7,16,up
46.08,0.0,1.44,1.4399,1.0,烟台市,370600,14,down,32.05,17,up
51.12,0.0,1.43,1.4147,5.0,珠海市,440400,25,up,35.68,18,up
38.92,0.0,1.43,1.4233,2.0,柳州市,450200,21,up,27.26,19,up
40.53,0.0,1.43,1.4345,1.0,宿迁市,321300,16,down,28.4,20,up
42.63,0.0,1.43,1.4247,3.0,湛江市,440800,19,down,29.91,21,up
43.0,0.0,1.42,1.4163,4.0,深圳市,440300,24,up,30.25,22,up
41.4,0.0,1.42,1.4182,-3.0,银川市,640100,23,flat,29.12,23,down
38.33,0.0,1.42,1.4241,-1.0,南阳市,411300,20,down,27.0,24,down
41.16,0.0,1.41,1.4207,3.0,滁州市,341100,22,down,29.12,25,up
45.04,0.0,1.41,1.4068,4.0,中山市,442000,26,flat,31.89,26,up
41.8,0.0,1.41,1.3916,5.0,清远市,441800,31,up,29.63,27,up
42.6,0.0,1.41,1.4291,2.0,长沙市,430100,17,down,30.25,28,up
45.76,0.0,1.4,1.3969,8.0,徐州市,320300,28,down,32.61,29,up
45.2,0.0,1.39,1.404,6.0,佛山市,440600,27,down,32.47,30,up
42.22,0.0,1.39,1.3918,0.0,香港,810000,30,down,30.41,31,flat
46.14,0.0,1.39,1.3903,1.0,潍坊市,370700,32,flat,33.24,32,up
44.82,0.0,1.39,1.3595,2.0,东莞市,441900,39,up,32.29,33,up
47.9,0.0,1.38,1.3938,2.0,天津市,120000,29,down,34.61,34,up
43.38,0.0,1.37,1.3722,-1.0,淄博市,370300,34,down,31.58,35,down
42.7,0.0,1.37,1.3621,2.0,衢州市,330800,38,up,31.11,36,up
41.85,0.0,1.37,1.3583,5.0,衡阳市,430400,40,up,30.53,37,up
52.93,0.0,1.37,1.356,0.0,鄂尔多斯市,150600,41,up,38.66,38,flat
47.07,0.0,1.37,1.3694,0.0,唐山市,130200,36,down,34.39,39,flat
46.16,0.0,1.37,1.3709,1.0,绵阳市,510700,35,down,33.76,40,up
41.65,0.0,1.36,1.3537,2.0,南宁市,450100,44,up,30.59,41,up
40.39,0.0,1.36,1.3554,0.0,昆明市,530100,42,flat,29.75,42,flat
43.56,0.0,1.36,1.3689,4.0,韶关市,440200,37,down,32.1,43,up
41.68,0.0,1.35,1.3539,3.0,杭州市,330100,43,down,30.85,44,up
45.76,0.0,1.35,1.3513,1.0,台州市,331000,45,flat,34.01,45,up
