freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.45,0.0,1.67,1.617,10.0,咸阳市,610400,0,flat,24.83,0,up
45.17,0.0,1.52,1.4629,-6.0,成都市,510100,3,up,29.78,1,down
41.93,0.0,1.5,1.4886,2.0,香港,810000,1,down,28.01,2,up
41.68,0.0,1.49,1.454,-2.0,德阳市,510600,5,up,27.96,3,down
48.2,0.0,1.48,1.4578,25.0,临沂市,371300,4,flat,32.66,4,up
45.73,0.0,1.47,1.4752,5.0,台州市,331000,2,down,31.13,5,up
41.67,0.0,1.47,1.4437,3.0,杭州市,330100,9,up,28.41,6,up
45.84,0.0,1.47,1.4488,1.0,济南市,370100,6,down,31.28,7,up
42.13,0.0,1.46,1.4362,9.0,南充市,511300,10,up,28.77,8,up
40.53,0.0,1.46,1.4465,2.0,宿迁市,321300,7,down,27.8,9,up
46.01,0.0,1.46,1.4201,-3.0,大连市,210200,12,up,31.6,10,down
42.97,0.0,1.44,1.445,-5.0,沈阳市,210100,8,down,29.83,11,down
40.36,0.0,1.44,1.4093,-1.0,昆明市,530100,14,up,28.08,12,down
47.64,0.0,1.43,1.4047,2.0,贵阳市,520100,15,up,33.24,13,up
43.67,0.0,1.43,1.4114,2.0,西安市,610100,13,down,30.49,14,up
39.58,0.0,1.43,1.4024,3.0,温州市,330300,17,up,27.7,15,up
41.57,0.0,1.43,1.3943,6.0,赣州市,360700,19,up,29.14,16,up
46.14,0.0,1.42,1.3957,5.0,潍坊市,370700,18,up,32.56,17,up
46.67,0.0,1.41,1.4208,-9.0,长春市,220100,11,down,33.01,18,down
41.4,0.0,1.41,1.4033,-2.0,银川市,640100,16,down,29.41,19,down
46.19,0.0,1.4,1.3552,-1.0,绵阳市,510700,27,up,33.02,20,down
42.71,0.0,1.39,1.3884,0.0,衢州市,330800,20,down,30.79,21,flat
38.89,0.0,1.39,1.3868,1.0,柳州市,450200,21,down,28.08,22,up
41.3,0.0,1.38,1.3687,1.0,上海市,310000,22,down,29.84,23,up
42.59,0.0,1.38,1.345,-1.0,长沙市,430100,31,up,30.8,24,down
38.23,0.0,1.38,1.3675,0.0,桂林市,450300,23,down,27.74,25,flat
46.11,0.0,1.37,1.3655,2.0,烟台市,370600,24,down,33.59,26,up
39.74,0.0,1.36,1.3646,3.0,金华市,330700,25,down,29.13,27,up
37.72,0.0,1.36,1.3487,2.0,海口市,460100,28,flat,27.69,28,up
40.45,0.0,1.35,1.3582,6.0,新乡市,410700,26,down,29.87,29,up
42.57,0.0,1.35,1.3454,2.0,绍兴市,330600,30,flat,31.45,30,up
41.58,0.0,1.35,1.3471,3.0,漳州市,350600,29,down,30.82,31,up
46.48,0.0,1.35,1.3316,2.0,无锡市,320200,34,up,34.51,32,up
51.13,0.0,1.34,1.3218,2.0,珠海市,440400,39,up,38.02,33,up
42.99,0.0,1.34,1.322,1.0,深圳市,440300,38,up,32.0,34,up
42.85,0.0,1.34,1.3323,2.0,宁波市,330200,33,down,31.93,35,up
42.62,0.0,1.34,1.3235,4.0,湛江市,440800,35,down,31.79,36,up
45.04,0.0,1.34,1.3056,5.0,中山市,442000,50,up,33.67,37,up
41.19,0.0,1.34,1.3137,1.0,滁州市,341100,41,up,30.8,38,up
43.37,0.0,1.34,1.3231,4.0,淄博市,370300,36,down,32.45,39,up
38.34,0.0,1.33,1.3115,-2.0,南阳市,411300,44,up,28.76,40,down
44.04,0.0,1.33,1.3071,1.0,惠州市,441300,48,up,33.15,41,up
53.04,0.0,1.33,1.3101,2.0,鄂尔多斯市,150600,45,up,39.97,42,up
45.53,0.0,1.33,1.309,5.0,南京市,320100,46,up,34.33,43,up
43.35,0.0,1.32,1.3188,0.0,湖州市,330500,40,down,32.73,44,flat
43.15,0.0,1.32,1.3352,-1.0,廊坊市,131000,32,down,32.58,45,down
46.37,0.0,1.32,1.2984,3.0,常州市,320400,51,up,35.05,46,up
48.46,0.0,1.32,1.3079,1.0,苏州市,320500,47,flat,36.64,47,up
46.83,0.0,1.32,1.3125,1.0,镇江市,321100,43,down,35.41,48,up
42.53,0.0,1.32,1.3221,0.0,嘉兴市,330400,37,down,32.17,49,flat
48.43,0.0,1.32,1.2884,1.0,盐城市,320900,55,up,36.77,50,up
44.78,0.0,1.31,1.287,1.0,东莞市,441900,56,up,34.06,51,up
43.61,0.0,1.31,1.2897,-1.0,连云港市,320700,54,up,33.19,52,down
41.64,0.0,1.31,1.3068,1.0,南宁市,450100,49,down,31.73,53,up
47.9,0.0,1.31,1.2913,2.0,天津市,120000,53,down,36.55,54,up
41.84,0.0,1.31,1.2851,3.0,衡阳市,430400,57,up,31.96,55,up
47.1,0.0,1.3,1.3134,-2.0,唐山市,130200,42,down,36.1,56,down
46.15,0.0,1.3,1.2777,1.0,南昌市,360100,61,up,35.45,57,up
41.29,0.0,1.3,1.2773,-5.0,保定市,130600,62,up,31.73,58,down
45.8,0.0,1.3,1.2838,3.0,徐州市,320300,58,down,35.2,59,up
44.4,0.0,1.3,1.2932,-5.0,哈尔滨市,230100,52,down,34.25,60,down
41.79,0.0,1.29,1.2816,-1.0,清远市,441800,59,down,32.33,61,down
47.29,0.0,1.29,1.2624,-7.0,江门市,440700,69,up,36.78,62,down
49.87,0.0,1.28,1.2592,3.0,太原市,140100,72,up,39.01,63,up
42.49,0.0,1.28,1.2797,-3.0,芜湖市,340200,60,down,33.28,64,down
45.19,0.0,1.27,1.2611,3.0,佛山市,440600,71,up,35.52,65,up
48.82,0.0,1.27,1.2628,2.0,郑州市,410100,68,up,38.4,66,up
47.79,0.0,1.27,1.2613,0.0,济宁市,370800,70,up,37.6,67,flat
41.93,0.0,1.27,1.2544,7.0,德州市,371400,74,up,33.0,68,up
47.4,0.0,1.27,1.2632,-1.0,扬州市,321000,66,down,37.38,69,down
44.43,0.0,1.27,1.2686,6.0,西宁市,630100,64,down,35.09,70,up
45.36,0.0,1.27,1.2503,0.0,邢台市,130500,76,up,35.82,71,flat
47.68,0.0,1.27,1.2521,-13.0,重庆市,500000,75,up,37.67,72,down
45.31,0.0,1.26,1.2632,-6.0,青岛市,370200,67,down,35.87,73,down
43.75,0.0,1.26,1.2741,-6.0,茂名市,440900,63,down,34.67,74,down
43.1,0.0,1.26,1.2684,-5.0,泰安市,370900,65,down,34.25,75,down
50.87,0.0,1.26,1.256,2.0,泰州市,321200,73,down,40.52,76,up
48.87,0.0,1.25,1.2377,-1.0,厦门市,350200,80,up,39.0,77,down
43.59,0.0,1.25,1.2429,-1.0,韶关市,440200,78,flat,34.84,78,down
45.14,0.0,1.25,1.2397,3.0,洛阳市,410300,79,flat,36.08,79,up
45.93,0.0,1.25,1.2334,-4.0,北京市,110000,81,up,36.87,80,down
50.79,0.0,1.24,1.2439,1.0,南通市,320600,77,down,40.8,81,up
41.17,0.0,1.24,1.2197,-3.0,三亚市,460200,84,up,33.18,82,down
39.83,0.0,1.23,1.2316,-4.0,汕头市,440500,82,down,32.28,83,down
46.85,0.0,1.23,1.2139,4.0,泉州市,350500,87,up,38.05,84,up
47.82,0.0,1.23,1.224,-2.0,张家口市,130700,83,down,38.92,85,down
42.94,0.0,1.23,1.2157,0.0,广州市,440100,85,down,35.02,86,flat
47.12,0.0,1.22,1.2143,-1.0,肇庆市,441200,86,down,38.49,87,down
46.76,0.0,1.21,1.2083,-4.0,淮安市,320800,88,flat,38.57,88,down
48.37,0.0,1.21,1.1984,4.0,武汉市,420100,92,up,39.98,89,up
44.04,0.0,1.21,1.1988,5.0,合肥市,340100,91,up,36.43,90,up
42.38,0.0,1.21,1.2003,0.0,兰州市,620100,90,down,35.17,91,flat
42.05,0.0,1.2,1.2037,-8.0,邯郸市,130400,89,down,35.04,92,down
46.8,0.0,1.18,1.182,-4.0,福州市,350100,93,flat,39.78,93,down
51.69,0.0,1.16,1.1523,-1.0,呼和浩特市,150100,94,flat,44.65,94,down
48.26,0.0,1.12,1.1208,21.0,大同市,140200,95,flat,42.96,95,up
50.78,0.0,1.1,1.11,-1.0,乌鲁木齐市,650100,96,flat,46.04,96,down
49.51,0.0,1.1,1.0913,-11.0,石家庄市,130100,98,up,44.92,97,down
40.22,0.0,1.09,1.0983,-8.0,伊犁州,654000,97,down,36.73,98,down
43.15,0.0,1.06,1.0545,-10.0,沧州市,130900,99,flat,40.65,99,down
