freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
46.73,0.0,2.17,2.2972,-6.0,长春市,220100,0,flat,21.55,0,down
42.97,0.0,2.11,2.1576,2.0,沈阳市,210100,2,up,20.37,1,up
46.04,0.0,2.07,2.1584,-7.0,大连市,210200,1,down,22.2,2,down
47.63,0.0,2.05,1.976,-3.0,重庆市,500000,4,up,23.23,3,down
45.26,0.0,1.96,2.0126,-5.0,青岛市,370200,3,down,23.07,4,down
45.89,0.0,1.96,1.9499,2.0,北京市,110000,6,up,23.43,5,up
47.88,0.0,1.93,1.9518,-4.0,天津市,120000,5,down,24.85,6,down
45.85,0.0,1.91,1.8969,-5.0,济南市,370100,8,up,23.99,7,down
45.2,0.0,1.9,1.8019,-21.0,成都市,510100,11,up,23.79,8,down
41.4,0.0,1.9,1.9303,3.0,咸阳市,610400,7,down,21.79,9,up
41.74,0.0,1.88,1.7693,-10.0,德阳市,510600,16,up,22.2,10,down
51.22,0.0,1.87,1.8933,4.0,珠海市,440400,9,down,27.34,11,up
41.32,0.0,1.86,1.8378,2.0,上海市,310000,10,down,22.21,12,up
42.62,0.0,1.84,1.7959,-3.0,长沙市,430100,12,down,23.15,13,down
47.72,0.0,1.84,1.7552,-5.0,贵阳市,520100,19,up,25.99,14,down
37.73,0.0,1.83,1.7812,-2.0,海口市,460100,13,down,20.59,15,down
43.03,0.0,1.81,1.7449,-4.0,深圳市,440300,20,up,23.79,16,down
40.41,0.0,1.79,1.7082,3.0,昆明市,530100,22,up,22.52,17,up
43.68,0.0,1.79,1.7663,8.0,西安市,610100,17,down,24.42,18,up
48.89,0.0,1.78,1.7749,2.0,厦门市,350200,15,down,27.4,19,up
41.29,0.0,1.75,1.7806,-3.0,保定市,130600,14,down,23.61,20,down
46.06,0.0,1.75,1.7632,2.0,烟台市,370600,18,down,26.34,21,up
49.82,0.0,1.72,1.7063,14.0,太原市,140100,23,up,29.04,22,up
48.47,0.0,1.71,1.6964,2.0,苏州市,320500,24,up,28.27,23,up
46.43,0.0,1.71,1.6948,2.0,无锡市,320200,25,up,27.1,24,up
42.52,0.0,1.69,1.6856,2.0,嘉兴市,330400,26,up,25.23,25,up
42.83,0.0,1.67,1.6625,7.0,宁波市,330200,27,up,25.7,26,up
46.17,0.0,1.66,1.5884,0.0,南昌市,360100,43,up,27.77,27,flat
41.79,0.0,1.66,1.7083,-1.0,清远市,441800,21,down,25.17,28,down
42.15,0.0,1.66,1.6425,0.0,香港,810000,28,down,25.39,29,flat
47.08,0.0,1.66,1.6046,3.0,肇庆市,441200,39,up,28.39,30,up
45.67,0.0,1.64,1.635,-11.0,南京市,320100,29,down,27.77,31,down
41.67,0.0,1.64,1.6082,4.0,杭州市,330100,35,up,25.34,32,up
42.53,0.0,1.64,1.6346,2.0,茂名市,440900,30,down,25.96,33,up
