freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
46.72,0.0,2.46,2.5759,5.0,长春市,220100,0,flat,18.99,0,up
42.95,0.0,2.23,2.1793,1.0,沈阳市,210100,1,flat,19.26,1,up
46.0,0.0,2.14,2.1113,-2.0,大连市,210200,2,flat,21.5,2,down
45.24,0.0,2.12,1.9999,6.0,青岛市,370200,5,up,21.35,3,up
45.82,0.0,2.1,2.0038,5.0,济南市,370100,4,flat,21.86,4,up
46.05,0.0,2.04,2.0637,12.0,烟台市,370600,3,down,22.54,5,up
39.54,0.0,1.99,1.9546,13.0,温州市,330300,6,flat,19.91,6,up
40.45,0.0,1.96,1.8567,9.0,宿迁市,321300,8,up,20.63,7,up
48.84,0.0,1.95,1.7692,11.0,厦门市,350200,15,up,25.0,8,up
42.98,0.0,1.89,1.7736,14.0,深圳市,440300,14,up,22.77,9,up
42.81,0.0,1.87,1.8435,8.0,宁波市,330200,9,down,22.91,10,up
42.57,0.0,1.87,1.7507,-2.0,长沙市,430100,17,up,22.81,11,down
44.01,0.0,1.87,1.7076,20.0,惠州市,441300,24,up,23.59,12,up
45.87,0.0,1.86,1.7619,2.0,北京市,110000,16,up,24.62,13,up
41.56,0.0,1.86,1.71,9.0,漳州市,350600,23,up,22.32,14,up
41.74,0.0,1.85,1.6795,7.0,清远市,441800,30,up,22.52,15,up
44.96,0.0,1.84,1.6353,18.0,中山市,442000,39,up,24.4,16,up
42.46,0.0,1.83,1.7498,3.0,茂名市,440900,18,up,23.17,17,up
45.17,0.0,1.83,1.746,-6.0,成都市,510100,19,up,24.69,18,down
42.65,0.0,1.82,1.8303,1.0,衢州市,330800,10,down,23.44,19,up
46.4,0.0,1.81,1.8004,-1.0,无锡市,320200,11,down,25.64,20,down
51.13,0.0,1.8,1.626,-2.0,珠海市,440400,42,up,28.41,21,down
39.96,0.0,1.8,1.5939,0.0,汕头市,440500,46,up,22.25,22,flat
47.6,0.0,1.79,1.6755,0.0,重庆市,500000,31,up,26.56,23,flat
47.0,0.0,1.79,1.7174,-8.0,唐山市,130200,22,down,26.22,24,down
46.34,0.0,1.78,1.7957,0.0,常州市,320400,12,down,26.1,25,flat
46.13,0.0,1.77,1.6929,3.0,潍坊市,370700,28,up,26.03,26,up
45.8,0.0,1.77,1.888,-5.0,台州市,331000,7,down,25.89,27,down
41.41,0.0,1.77,1.6939,1.0,咸阳市,610400,27,down,23.45,28,up
44.73,0.0,1.77,1.6367,7.0,东莞市,441900,38,up,25.33,29,up
41.3,0.0,1.76,1.7301,-4.0,上海市,310000,21,down,23.47,30,down
40.33,0.0,1.76,1.6879,3.0,昆明市,530100,29,down,22.93,31,up
37.69,0.0,1.76,1.6268,-2.0,海口市,460100,41,up,21.46,32,down
47.68,0.0,1.75,1.6978,5.0,贵阳市,520100,26,down,27.25,33,up
42.54,0.0,1.74,1.7856,2.0,绍兴市,330600,13,down,24.4,34,up
47.85,0.0,1.74,1.6333,-2.0,天津市,120000,40,up,27.5,35,down
41.28,0.0,1.74,1.5745,-3.0,保定市,130600,51,up,23.75,36,down
41.99,0.0,1.74,1.7051,6.0,香港,810000,25,down,24.17,37,up
41.72,0.0,1.73,1.642,-6.0,德阳市,510600,36,down,24.05,38,down
