freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
46.74,0.0,1.76,1.6862,6.0,长春市,220100,1,up,26.59,0,up
42.02,0.0,1.69,1.6979,8.0,香港,810000,0,down,24.84,1,up
42.99,0.0,1.64,1.5774,6.0,沈阳市,210100,2,flat,26.15,2,up
42.98,0.0,1.58,1.5573,3.0,深圳市,440300,3,flat,27.19,3,up
41.43,0.0,1.56,1.5559,2.0,咸阳市,610400,4,flat,26.51,4,up
46.03,0.0,1.56,1.522,0.0,大连市,210200,5,flat,29.53,5,flat
39.56,0.0,1.51,1.5078,7.0,温州市,330300,6,flat,26.18,6,up
44.75,0.0,1.51,1.4824,-2.0,东莞市,441900,8,up,29.72,7,down
42.51,0.0,1.5,1.4761,3.0,茂名市,440900,10,up,28.36,8,up
44.03,0.0,1.49,1.4631,9.0,惠州市,441300,12,up,29.47,9,up
41.39,0.0,1.49,1.5064,17.0,银川市,640100,7,down,27.75,10,up
41.57,0.0,1.47,1.4801,-2.0,漳州市,350600,9,down,28.21,11,down
40.35,0.0,1.47,1.4633,3.0,昆明市,530100,11,down,27.4,12,up
37.7,0.0,1.47,1.455,-2.0,海口市,460100,14,up,25.62,13,down
40.37,0.0,1.46,1.4383,1.0,新乡市,410700,18,up,27.6,14,up
45.01,0.0,1.46,1.4592,4.0,中山市,442000,13,down,30.86,15,up
45.2,0.0,1.46,1.4536,-4.0,成都市,510100,15,down,31.02,16,down
45.27,0.0,1.46,1.4328,0.0,青岛市,370200,20,up,31.08,17,flat
45.87,0.0,1.46,1.4329,-2.0,济南市,370100,19,up,31.5,18,down
40.47,0.0,1.45,1.4475,1.0,宿迁市,321300,17,down,27.84,19,up
45.86,0.0,1.45,1.4158,0.0,台州市,331000,23,up,31.55,20,flat
41.8,0.0,1.45,1.4496,-1.0,德阳市,510600,16,down,28.88,21,down
46.1,0.0,1.45,1.4132,5.0,烟台市,370600,25,up,31.87,22,up
41.58,0.0,1.44,1.4123,5.0,赣州市,360700,26,up,28.94,23,up
42.59,0.0,1.44,1.4232,-1.0,长沙市,430100,21,down,29.67,24,down
42.7,0.0,1.43,1.3853,2.0,衢州市,330800,35,up,29.83,25,up
38.33,0.0,1.42,1.4152,2.0,南阳市,411300,24,down,26.98,26,up
47.69,0.0,1.42,1.4196,3.0,贵阳市,520100,22,down,33.63,27,up
41.31,0.0,1.42,1.3958,-2.0,上海市,310000,31,up,29.17,28,down
47.63,0.0,1.42,1.3901,0.0,重庆市,500000,32,up,33.64,29,flat
38.26,0.0,1.41,1.3994,2.0,桂林市,450300,29,down,27.09,30,up
42.65,0.0,1.41,1.3801,2.0,湛江市,440800,38,up,30.28,31,up
42.52,0.0,1.41,1.382,1.0,嘉兴市,330400,37,up,30.21,32,up
42.57,0.0,1.41,1.3793,0.0,绍兴市,330600,40,up,30.29,33,flat
47.05,0.0,1.4,1.402,-1.0,唐山市,130200,27,down,33.55,34,down
41.78,0.0,1.4,1.3775,2.0,清远市,441800,43,up,29.8,35,up
43.68,0.0,1.4,1.4018,4.0,西安市,610100,28,down,31.18,36,up
