freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
49.17,0.0,1.38,1.2791,15.0,镇江市,321100,1,up,35.72,0,up
46.38,0.0,1.33,1.2978,12.0,烟台市,370600,0,down,34.87,1,up
40.56,0.0,1.31,1.2301,5.0,宿迁市,321300,3,up,30.94,2,up
48.13,0.0,1.3,1.2371,10.0,淮安市,320800,2,down,37.06,3,up
52.83,0.0,1.29,1.1687,7.0,西宁市,630100,13,up,41.04,4,up
43.75,0.0,1.27,1.2026,13.0,清远市,441800,5,flat,34.36,5,up
43.18,0.0,1.24,1.1375,-1.0,新乡市,410700,28,up,34.72,6,down
49.37,0.0,1.24,1.132,-1.0,邢台市,130500,33,up,39.95,7,down
46.8,0.0,1.22,1.1778,-1.0,潍坊市,370700,8,flat,38.24,8,down
43.71,0.0,1.22,1.1784,-2.0,淄博市,370300,7,down,35.72,9,down
44.7,0.0,1.22,1.1523,1.0,泰安市,370900,22,up,36.6,10,up
46.93,0.0,1.22,1.1619,0.0,大连市,210200,16,up,38.62,11,flat
52.59,0.0,1.21,1.1741,4.0,泰州市,321200,10,down,43.3,12,up
43.66,0.0,1.21,1.1458,-5.0,廊坊市,131000,26,up,35.98,13,down
42.85,0.0,1.21,1.1544,-6.0,德阳市,510600,19,up,35.37,14,down
46.15,0.0,1.21,1.1699,3.0,青岛市,370200,12,down,38.12,15,up
46.8,0.0,1.21,1.1705,-2.0,长春市,220100,11,down,38.69,16,down
50.06,0.0,1.21,1.1452,3.0,济宁市,370800,27,up,41.44,17,up
50.23,0.0,1.2,1.2079,1.0,张家口市,130700,4,down,41.78,18,up
43.23,0.0,1.2,1.1508,-2.0,邯郸市,130400,23,up,35.97,19,down
47.3,0.0,1.2,1.1622,-1.0,唐山市,130200,15,down,39.43,20,down
43.56,0.0,1.2,1.1317,-1.0,银川市,640100,34,up,36.32,21,down
47.08,0.0,1.2,1.1531,-1.0,济南市,370100,21,down,39.38,22,down
41.42,0.0,1.19,1.161,-2.0,滁州市,341100,17,down,34.7,23,down
43.95,0.0,1.19,1.0656,-3.0,南充市,511300,88,up,36.92,24,down
43.29,0.0,1.19,1.1762,-1.0,嘉兴市,330400,9,down,36.44,25,down
51.84,0.0,1.19,1.1546,1.0,珠海市,440400,18,down,43.69,26,up
42.78,0.0,1.18,1.1177,1.0,漳州市,350600,47,up,36.12,27,up
48.94,0.0,1.18,1.1665,3.0,扬州市,321000,14,down,41.39,28,up
46.05,0.0,1.18,1.1107,3.0,香港,810000,58,up,39.0,29,up
48.08,0.0,1.18,1.1172,4.0,茂名市,440900,48,up,40.8,30,up
47.07,0.0,1.17,1.1332,3.0,佛山市,440600,32,up,40.17,31,up
47.27,0.0,1.17,1.1535,-1.0,常州市,320400,20,down,40.35,32,down
50.27,0.0,1.17,1.1314,1.0,盐城市,320900,36,up,42.96,33,up
43.72,0.0,1.17,1.1264,-1.0,连云港市,320700,40,up,37.38,34,down
42.74,0.0,1.17,1.1219,-3.0,德州市,371400,44,up,36.58,35,down
47.76,0.0,1.17,1.1145,3.0,中山市,442000,53,up,40.94,36,up
44.06,0.0,1.17,1.1468,0.0,湖州市,330500,25,down,37.8,37,flat
43.45,0.0,1.17,1.1474,0.0,绍兴市,330600,24,down,37.28,38,flat
55.8,0.0,1.16,1.1167,-1.0,郑州市,410100,49,up,47.96,39,down
42.18,0.0,1.16,1.1352,1.0,三亚市,460200,30,down,36.31,40,up
57.74,0.0,1.16,1.1228,2.0,鄂尔多斯市,150600,42,up,49.72,41,up
47.67,0.0,1.16,1.1209,-1.0,南京市,320100,45,up,41.06,42,down
43.63,0.0,1.16,1.0893,-1.0,衢州市,330800,75,up,37.59,43,down
50.03,0.0,1.16,1.1115,-1.0,临沂市,371300,57,up,43.15,44,down
46.85,0.0,1.16,1.1354,0.0,台州市,331000,29,down,40.43,45,flat
58.7,0.0,1.16,1.0729,1.0,呼和浩特市,150100,84,up,50.7,46,up
44.24,0.0,1.16,1.1339,3.0,深圳市,440300,31,down,38.23,47,up
43.56,0.0,1.15,1.1223,0.0,沈阳市,210100,43,down,37.78,48,flat
43.66,0.0,1.15,1.1151,-4.0,芜湖市,340200,52,up,37.93,49,down
46.44,0.0,1.15,1.1232,0.0,东莞市,441900,41,down,40.36,50,flat
44.76,0.0,1.15,1.1315,0.0,哈尔滨市,230100,35,down,38.93,51,flat
39.42,0.0,1.15,1.0999,2.0,桂林市,450300,68,up,34.29,52,up
50.62,0.0,1.15,1.1294,1.0,洛阳市,410300,38,down,44.04,53,up
45.23,0.0,1.15,1.1154,-2.0,赣州市,360700,50,down,39.43,54,down
45.12,0.0,1.15,1.1296,2.0,惠州市,441300,37,down,39.38,55,up
48.9,0.0,1.15,1.1133,2.0,江门市,440700,55,down,42.7,56,up
40.41,0.0,1.14,1.1132,-1.0,金华市,330700,56,down,35.36,57,down
42.25,0.0,1.14,1.1082,-2.0,咸阳市,610400,62,up,37.19,58,down
39.22,0.0,1.14,1.0811,-3.0,南阳市,411300,80,up,34.52,59,down
46.64,0.0,1.14,1.1154,-1.0,徐州市,320300,51,down,41.05,60,down
44.05,0.0,1.14,1.1135,2.0,广州市,440100,54,down,38.78,61,up
46.3,0.0,1.14,1.0853,0.0,合肥市,340100,79,up,40.79,62,flat
43.25,0.0,1.13,1.1269,-1.0,宁波市,330200,39,down,38.13,63,down
42.81,0.0,1.13,1.1096,0.0,杭州市,330100,60,down,37.81,64,flat
60.07,0.0,1.13,1.0911,-1.0,乌鲁木齐市,650100,73,up,53.06,65,down
42.0,0.0,1.13,1.1029,1.0,汕头市,440500,65,down,37.13,66,up
40.35,0.0,1.13,1.1197,-2.0,温州市,330300,46,down,35.69,67,down
48.59,0.0,1.13,1.0951,0.0,天津市,120000,70,up,42.99,68,flat
46.8,0.0,1.13,1.1082,-1.0,无锡市,320200,63,down,41.44,69,down
45.26,0.0,1.13,1.0861,-2.0,西安市,610100,78,up,40.23,70,down
51.57,0.0,1.12,1.1875,3.0,大同市,140200,6,down,45.85,71,up
41.82,0.0,1.12,1.0709,-1.0,保定市,130600,85,up,37.24,72,down
51.82,0.0,1.12,1.0911,1.0,南通市,320600,74,up,46.16,73,up
48.58,0.0,1.12,1.1018,-1.0,南昌市,360100,66,down,43.28,74,down
45.32,0.0,1.12,1.1017,2.0,沧州市,130900,67,down,40.39,75,up
