freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
42.85,0.0,1.56,1.6253,6.0,深圳市,440300,0,flat,27.5,0,up
41.5,0.0,1.56,1.5689,-5.0,咸阳市,610400,1,flat,26.63,1,down
41.64,0.0,1.56,1.5368,1.0,香港,810000,2,flat,26.77,2,up
45.15,0.0,1.5,1.5337,-3.0,成都市,510100,3,flat,30.01,3,down
44.15,0.0,1.49,1.5171,1.0,西安市,610100,4,flat,29.61,4,up
41.73,0.0,1.48,1.4784,10.0,南充市,511300,6,up,28.14,5,up
45.04,0.0,1.48,1.4767,6.0,青岛市,370200,7,up,30.52,6,up
41.28,0.0,1.47,1.4581,-1.0,德阳市,510600,11,up,28.04,7,down
40.35,0.0,1.46,1.4727,11.0,新乡市,410700,9,up,27.56,8,up
41.43,0.0,1.46,1.4924,6.0,上海市,310000,5,down,28.42,9,up
46.15,0.0,1.44,1.4732,1.0,大连市,210200,8,down,31.95,10,up
45.63,0.0,1.44,1.4539,-1.0,济南市,370100,12,up,31.62,11,down
44.58,0.0,1.44,1.4582,2.0,东莞市,441900,10,down,30.98,12,up
44.72,0.0,1.43,1.4425,1.0,中山市,442000,14,up,31.27,13,up
44.97,0.0,1.43,1.4156,5.0,佛山市,440600,19,up,31.49,14,up
41.39,0.0,1.43,1.4257,-2.0,银川市,640100,17,up,29.0,15,down
46.34,0.0,1.43,1.45,-4.0,长春市,220100,13,down,32.49,16,down
42.33,0.0,1.42,1.4336,-1.0,长沙市,430100,15,down,29.83,17,down
42.55,0.0,1.41,1.4213,-4.0,沈阳市,210100,18,flat,30.19,18,down
39.77,0.0,1.4,1.4272,-1.0,宿迁市,321300,16,down,28.39,19,down
37.7,0.0,1.4,1.398,-3.0,海口市,460100,23,up,26.98,20,down
48.59,0.0,1.39,1.372,16.0,郑州市,410100,31,up,34.9,21,up
40.19,0.0,1.39,1.3998,-10.0,昆明市,530100,20,down,28.91,22,down
52.99,0.0,1.39,1.3997,1.0,鄂尔多斯市,150600,21,down,38.23,23,up
47.52,0.0,1.38,1.3778,18.0,临沂市,371300,27,up,34.46,24,up
40.99,0.0,1.38,1.3708,-6.0,漳州市,350600,32,up,29.73,25,down
46.39,0.0,1.38,1.3995,6.0,镇江市,321100,22,down,33.66,26,up
41.48,0.0,1.37,1.3946,2.0,清远市,441800,24,down,30.2,27,up
42.45,0.0,1.37,1.3746,-3.0,湛江市,440800,29,up,30.97,28,down
37.87,0.0,1.37,1.3723,-2.0,桂林市,450300,30,up,27.65,29,down
45.63,0.0,1.37,1.3912,2.0,烟台市,370600,26,down,33.38,30,up
38.46,0.0,1.37,1.3675,-1.0,柳州市,450200,35,up,28.15,31,down
41.76,0.0,1.36,1.3927,-3.0,赣州市,360700,25,down,30.63,32,down
41.7,0.0,1.36,1.3773,0.0,杭州市,330100,28,down,30.59,33,flat
42.43,0.0,1.36,1.3694,-4.0,廊坊市,131000,34,flat,31.13,34,down
43.06,0.0,1.36,1.3467,-3.0,泰安市,370900,43,up,31.6,35,down
40.99,0.0,1.36,1.3566,7.0,德州市,371400,37,up,30.1,36,up
47.68,0.0,1.35,1.3704,-2.0,贵阳市,520100,33,down,35.27,37,down
45.74,0.0,1.35,1.3539,0.0,绵阳市,510700,40,up,33.9,38,flat
40.76,0.0,1.35,1.3557,-5.0,保定市,130600,39,flat,30.24,39,down
49.86,0.0,1.35,1.3535,1.0,太原市,140100,42,up,37.01,40,up
47.91,0.0,1.35,1.3155,1.0,张家口市,130700,59,up,35.6,41,up
45.52,0.0,1.34,1.3455,0.0,潍坊市,370700,44,up,33.88,42,flat
41.2,0.0,1.34,1.3537,0.0,三亚市,460200,41,down,30.7,43,flat
45.57,0.0,1.34,1.3631,6.0,南京市,320100,36,down,34.05,44,up
47.18,0.0,1.34,1.3566,-1.0,天津市,120000,38,down,35.29,45,down
47.1,0.0,1.34,1.326,-1.0,江门市,440700,51,up,35.25,46,down
44.82,0.0,1.33,1.3325,11.0,西宁市,630100,48,up,33.6,47,up
42.12,0.0,1.33,1.3358,-1.0,衢州市,330800,46,down,31.63,48,down
45.22,0.0,1.33,1.3343,-1.0,台州市,331000,47,down,33.99,49,down
45.97,0.0,1.33,1.3316,-4.0,唐山市,130200,49,down,34.65,50,down
44.2,0.0,1.33,1.3307,-1.0,哈尔滨市,230100,50,down,33.35,51,down
47.65,0.0,1.32,1.3368,-13.0,重庆市,500000,45,down,36.03,52,down
45.83,0.0,1.32,1.3202,3.0,无锡市,320200,54,up,34.68,53,up
41.44,0.0,1.32,1.3235,0.0,南宁市,450100,52,down,31.43,54,flat
42.86,0.0,1.32,1.3196,0.0,淄博市,370300,55,flat,32.53,55,flat
42.32,0.0,1.31,1.3084,-1.0,绍兴市,330600,61,up,32.25,56,down
39.17,0.0,1.31,1.3211,-10.0,温州市,330300,53,down,29.91,57,down
47.65,0.0,1.31,1.302,1.0,济宁市,370800,63,up,36.45,58,up
43.03,0.0,1.31,1.2935,0.0,连云港市,320700,69,up,32.97,59,flat
42.85,0.0,1.3,1.3143,-2.0,广州市,440100,60,flat,32.86,60,down
48.63,0.0,1.3,1.3196,1.0,厦门市,350200,56,down,37.33,61,up
40.42,0.0,1.3,1.2985,1.0,滁州市,341100,67,up,31.08,62,up
41.79,0.0,1.3,1.2989,1.0,嘉兴市,330400,66,up,32.21,63,up
46.66,0.0,1.3,1.3169,-8.0,北京市,110000,57,down,35.97,64,down
45.29,0.0,1.3,1.2997,-1.0,徐州市,320300,64,down,34.92,65,down
50.72,0.0,1.3,1.2928,-4.0,珠海市,440400,70,up,39.16,66,down
41.4,0.0,1.29,1.2995,-3.0,衡阳市,430400,65,down,32.01,67,down
44.92,0.0,1.29,1.2892,2.0,洛阳市,410300,71,up,34.75,68,up
47.84,0.0,1.29,1.2825,-1.0,盐城市,320900,74,up,37.17,69,down
39.08,0.0,1.29,1.2966,-1.0,汕头市,440500,68,down,30.36,70,down
48.34,0.0,1.28,1.3167,5.0,武汉市,420100,58,down,37.63,71,up
43.73,0.0,1.28,1.276,-12.0,茂名市,440900,75,up,34.11,72,down
43.58,0.0,1.28,1.2874,-4.0,惠州市,441300,72,down,34.04,73,down
37.89,0.0,1.27,1.2736,-10.0,南阳市,411300,77,up,29.78,74,down
43.23,0.0,1.27,1.3021,-4.0,韶关市,440200,62,down,34.0,75,down
42.66,0.0,1.27,1.251,0.0,湖州市,330500,84,up,33.57,76,flat
42.45,0.0,1.27,1.2747,-1.0,宁波市,330200,76,down,33.44,77,down
48.25,0.0,1.26,1.2846,-1.0,苏州市,320500,73,down,38.22,78,down
42.04,0.0,1.26,1.267,-4.0,芜湖市,340200,78,down,33.34,79,down
46.81,0.0,1.26,1.2664,-3.0,扬州市,321000,80,flat,37.23,80,down
39.33,0.0,1.25,1.2649,-3.0,金华市,330700,81,flat,31.36,81,down
45.76,0.0,1.25,1.2665,-3.0,南昌市,360100,79,down,36.49,82,down
46.79,0.0,1.25,1.2598,-3.0,肇庆市,441200,83,flat,37.44,83,down
45.93,0.0,1.24,1.2425,-1.0,常州市,320400,85,up,36.92,84,down
49.88,0.0,1.24,1.2633,0.0,南通市,320600,82,down,40.14,85,flat
50.0,0.0,1.24,1.2367,1.0,泰州市,321200,86,flat,40.28,86,up
44.52,0.0,1.23,1.2363,3.0,合肥市,340100,87,flat,36.2,87,up
41.34,0.0,1.23,1.2331,-2.0,邯郸市,130400,88,flat,33.62,88,down
51.45,0.0,1.23,1.1988,6.0,呼和浩特市,150100,93,up,41.99,89,up
46.31,0.0,1.22,1.2248,-2.0,泉州市,350500,90,flat,37.83,90,down
42.45,0.0,1.22,1.21,2.0,兰州市,620100,92,up,34.7,91,up
46.29,0.0,1.22,1.2297,-2.0,福州市,350100,89,down,37.85,92,down
46.17,0.0,1.21,1.2222,-2.0,淮安市,320800,91,down,38.17,93,down
47.59,0.0,1.2,1.1545,20.0,大同市,140200,95,up,39.61,94,up
44.96,0.0,1.2,1.1717,-10.0,邢台市,130500,94,down,37.5,95,down
54.2,0.0,1.15,1.1234,3.0,乌鲁木齐市,650100,97,up,47.09,96,up
49.39,0.0,1.11,1.1085,-15.0,石家庄市,130100,98,up,44.5,97,down
42.5,0.0,1.09,1.1318,-3.0,沧州市,130900,96,down,38.92,98,down
40.78,0.0,1.08,1.1037,12.0,伊犁州,654000,99,flat,37.6,99,up
