freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.91,0.0,1.75,1.7373,3.0,香港,810000,0,flat,23.94,0,up
41.43,0.0,1.63,1.6038,9.0,咸阳市,610400,1,flat,25.39,1,up
45.17,0.0,1.54,1.4937,0.0,成都市,510100,3,up,29.25,2,flat
47.64,0.0,1.51,1.5074,5.0,贵阳市,520100,2,down,31.65,3,up
46.02,0.0,1.49,1.4865,-4.0,大连市,210200,4,flat,30.96,4,down
46.66,0.0,1.46,1.4435,-2.0,长春市,220100,6,up,32.0,5,down
42.97,0.0,1.45,1.4607,-4.0,沈阳市,210100,5,down,29.58,6,down
41.7,0.0,1.45,1.4213,0.0,德阳市,510600,7,flat,28.78,7,flat
41.29,0.0,1.45,1.4151,1.0,上海市,310000,8,flat,28.53,8,up
42.13,0.0,1.43,1.3969,21.0,南充市,511300,14,up,29.39,9,up
45.85,0.0,1.43,1.4104,0.0,济南市,370100,9,down,32.13,10,flat
43.66,0.0,1.43,1.409,0.0,西安市,610100,10,down,30.63,11,flat
40.35,0.0,1.42,1.401,-2.0,昆明市,530100,13,up,28.34,12,down
41.67,0.0,1.42,1.402,1.0,杭州市,330100,12,down,29.38,13,up
41.37,0.0,1.41,1.392,0.0,银川市,640100,15,up,29.25,14,flat
40.53,0.0,1.41,1.3859,0.0,宿迁市,321300,16,up,28.82,15,flat
38.89,0.0,1.4,1.4045,3.0,柳州市,450200,11,down,27.82,16,up
39.59,0.0,1.4,1.3849,3.0,温州市,330300,17,flat,28.32,17,up
41.56,0.0,1.38,1.3749,6.0,漳州市,350600,19,up,30.04,18,up
38.24,0.0,1.38,1.3762,1.0,桂林市,450300,18,down,27.66,19,up
42.69,0.0,1.37,1.357,1.0,衢州市,330800,22,up,31.13,20,up
45.79,0.0,1.36,1.3609,2.0,台州市,331000,20,down,33.57,21,up
42.59,0.0,1.36,1.3281,0.0,长沙市,430100,26,up,31.4,22,flat
46.09,0.0,1.35,1.3313,2.0,烟台市,370600,25,up,34.12,23,up
37.71,0.0,1.35,1.3598,0.0,海口市,460100,21,down,28.01,24,flat
41.61,0.0,1.34,1.3392,4.0,南宁市,450100,23,down,30.95,25,up
42.56,0.0,1.34,1.3344,1.0,绍兴市,330600,24,down,31.76,26,up
46.22,0.0,1.34,1.3172,-1.0,绵阳市,510700,34,up,34.51,27,down
42.98,0.0,1.34,1.3171,0.0,深圳市,440300,35,up,32.17,28,flat
43.34,0.0,1.33,1.3216,1.0,湖州市,330500,29,flat,32.49,29,up
43.1,0.0,1.33,1.3278,-20.0,廊坊市,131000,27,down,32.36,30,down
47.09,0.0,1.33,1.3211,-2.0,唐山市,130200,30,down,35.37,31,down
46.18,0.0,1.33,1.3204,1.0,潍坊市,370700,31,down,34.7,32,up
39.74,0.0,1.32,1.3261,1.0,金华市,330700,28,down,30.02,33,up
52.75,0.0,1.32,1.3057,0.0,鄂尔多斯市,150600,38,up,39.84,34,flat
42.62,0.0,1.32,1.3199,2.0,湛江市,440800,32,down,32.23,35,up
42.84,0.0,1.32,1.3174,1.0,宁波市,330200,33,down,32.47,36,up
38.34,0.0,1.32,1.3012,0.0,南阳市,411300,42,up,29.14,37,flat
41.6,0.0,1.32,1.2967,0.0,赣州市,360700,45,up,31.62,38,flat
45.54,0.0,1.32,1.3023,4.0,南京市,320100,41,up,34.62,39,up
42.52,0.0,1.31,1.312,0.0,嘉兴市,330400,36,down,32.36,40,flat
40.49,0.0,1.31,1.3111,-1.0,新乡市,410700,37,down,30.85,41,down
47.89,0.0,1.31,1.3042,-2.0,天津市,120000,40,down,36.56,42,down
41.18,0.0,1.31,1.2856,2.0,滁州市,341100,53,up,31.47,43,up
46.48,0.0,1.31,1.2956,0.0,无锡市,320200,47,up,35.58,44,flat
43.46,0.0,1.31,1.3004,-5.0,茂名市,440900,43,down,33.29,45,down
45.9,0.0,1.3,1.2946,1.0,北京市,110000,48,up,35.19,46,up
48.46,0.0,1.3,1.2971,-2.0,苏州市,320500,44,down,37.15,47,down
45.05,0.0,1.3,1.2922,2.0,中山市,442000,51,up,34.55,48,up
43.4,0.0,1.3,1.305,1.0,淄博市,370300,39,down,33.28,49,up
41.84,0.0,1.3,1.2828,2.0,衡阳市,430400,56,up,32.13,50,up
43.62,0.0,1.3,1.2963,1.0,连云港市,320700,46,down,33.56,51,up
41.29,0.0,1.3,1.2926,0.0,保定市,130600,50,down,31.77,52,flat
42.51,0.0,1.29,1.2917,1.0,芜湖市,340200,52,down,32.88,53,up
46.81,0.0,1.29,1.2782,1.0,镇江市,321100,57,up,36.22,54,up
41.78,0.0,1.29,1.2742,2.0,清远市,441800,61,up,32.34,55,up
48.43,0.0,1.29,1.2768,1.0,盐城市,320900,59,up,37.49,56,up
45.2,0.0,1.29,1.2777,4.0,佛山市,440600,58,up,35.0,57,up
46.16,0.0,1.29,1.2588,2.0,南昌市,360100,73,up,35.79,58,up
44.96,0.0,1.29,1.2761,2.0,邢台市,130500,60,up,34.92,59,up
47.66,0.0,1.28,1.2675,-10.0,重庆市,500000,65,up,37.11,60,down
44.42,0.0,1.28,1.2852,-10.0,哈尔滨市,230100,55,down,34.59,61,down
51.12,0.0,1.28,1.2707,0.0,珠海市,440400,63,up,39.83,62,flat
47.4,0.0,1.28,1.2669,1.0,扬州市,321000,66,up,37.01,63,up
43.1,0.0,1.28,1.2943,-2.0,泰安市,370900,49,down,33.68,64,down
46.36,0.0,1.28,1.2735,1.0,常州市,320400,62,down,36.24,65,up
47.3,0.0,1.28,1.2602,-2.0,江门市,440700,71,up,37.03,66,down
47.92,0.0,1.28,1.2688,3.0,济宁市,370800,64,down,37.52,67,up
45.29,0.0,1.28,1.2666,-7.0,青岛市,370200,67,down,35.51,68,down
47.63,0.0,1.28,1.2855,-2.0,张家口市,130700,54,down,37.35,69,down
44.04,0.0,1.27,1.2606,3.0,惠州市,441300,69,down,34.58,70,up
43.54,0.0,1.27,1.2572,2.0,韶关市,440200,74,up,34.26,71,up
44.79,0.0,1.27,1.2596,-1.0,东莞市,441900,72,flat,35.27,72,down
44.37,0.0,1.27,1.2606,5.0,西宁市,630100,70,down,35.0,73,up
45.79,0.0,1.27,1.261,3.0,徐州市,320300,68,down,36.15,74,up
49.88,0.0,1.26,1.2571,2.0,太原市,140100,75,flat,39.68,75,up
42.47,0.0,1.26,1.2406,4.0,德州市,371400,78,up,33.79,76,up
