freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.88,0.0,1.79,1.768,4.0,香港,810000,0,flat,23.38,0,up
41.44,0.0,1.72,1.656,14.0,咸阳市,610400,1,flat,24.13,1,up
45.17,0.0,1.65,1.6092,1.0,成都市,510100,2,flat,27.3,2,up
41.69,0.0,1.54,1.494,0.0,德阳市,510600,5,up,27.01,3,flat
47.65,0.0,1.53,1.5265,4.0,贵阳市,520100,3,down,31.21,4,up
46.01,0.0,1.51,1.4974,-4.0,大连市,210200,4,down,30.51,5,down
45.84,0.0,1.49,1.4538,2.0,济南市,370100,10,up,30.86,6,up
43.66,0.0,1.48,1.4567,1.0,西安市,610100,8,up,29.49,7,up
40.35,0.0,1.48,1.454,0.0,昆明市,530100,9,up,27.28,8,flat
41.29,0.0,1.47,1.4798,1.0,上海市,310000,6,down,28.0,9,up
42.13,0.0,1.47,1.4662,21.0,南充市,511300,7,down,28.71,10,up
42.97,0.0,1.45,1.4485,-3.0,沈阳市,210100,11,flat,29.58,11,down
41.67,0.0,1.45,1.4328,2.0,杭州市,330100,13,up,28.79,12,up
41.56,0.0,1.44,1.3949,8.0,漳州市,350600,19,up,28.83,13,up
42.59,0.0,1.44,1.3992,0.0,长沙市,430100,18,up,29.56,14,flat
41.37,0.0,1.44,1.422,0.0,银川市,640100,14,down,28.74,15,flat
46.67,0.0,1.44,1.4464,-5.0,长春市,220100,12,down,32.52,16,down
40.53,0.0,1.43,1.4209,1.0,宿迁市,321300,15,down,28.32,17,up
39.59,0.0,1.42,1.4093,4.0,温州市,330300,16,down,27.97,18,up
42.98,0.0,1.42,1.3671,0.0,深圳市,440300,22,up,30.36,19,flat
38.89,0.0,1.41,1.4014,4.0,柳州市,450200,17,down,27.57,20,up
38.23,0.0,1.4,1.3894,0.0,桂林市,450300,20,down,27.3,21,flat
46.21,0.0,1.4,1.3643,-2.0,绵阳市,510700,24,up,33.09,22,down
38.32,0.0,1.39,1.3515,2.0,南阳市,411300,25,up,27.65,23,up
41.57,0.0,1.38,1.3348,1.0,赣州市,360700,34,up,30.05,24,up
45.03,0.0,1.38,1.3325,5.0,中山市,442000,36,up,32.61,25,up
42.67,0.0,1.37,1.3767,0.0,衢州市,330800,21,down,31.05,26,flat
46.15,0.0,1.37,1.3281,5.0,南昌市,360100,37,up,33.61,27,up
37.71,0.0,1.37,1.3484,0.0,海口市,460100,27,down,27.57,28,flat
45.75,0.0,1.37,1.3663,3.0,台州市,331000,23,down,33.45,29,up
39.74,0.0,1.36,1.3403,3.0,金华市,330700,30,flat,29.19,30,up
46.1,0.0,1.36,1.3514,2.0,烟台市,370600,26,down,33.89,31,up
41.82,0.0,1.36,1.3244,6.0,衡阳市,430400,40,up,30.78,32,up
41.62,0.0,1.36,1.3477,4.0,南宁市,450100,28,down,30.69,33,up
42.56,0.0,1.35,1.3411,2.0,绍兴市,330600,29,down,31.48,34,up
41.76,0.0,1.35,1.315,2.0,清远市,441800,49,up,30.89,35,up
48.38,0.0,1.35,1.3159,3.0,盐城市,320900,48,up,35.78,36,up
46.16,0.0,1.35,1.3395,1.0,潍坊市,370700,31,down,34.17,37,up
43.34,0.0,1.35,1.336,2.0,湖州市,330500,33,down,32.22,38,up
47.09,0.0,1.34,1.3378,-3.0,唐山市,130200,32,down,35.07,39,down
43.38,0.0,1.34,1.3247,3.0,淄博市,370300,39,down,32.32,40,up
45.54,0.0,1.34,1.3224,5.0,南京市,320100,42,up,33.97,41,up
45.18,0.0,1.34,1.315,6.0,佛山市,440600,50,up,33.7,42,up
52.89,0.0,1.34,1.3259,1.0,鄂尔多斯市,150600,38,down,39.45,43,up
45.9,0.0,1.34,1.3224,1.0,北京市,110000,43,down,34.26,44,up
41.16,0.0,1.34,1.3334,2.0,滁州市,341100,35,down,30.74,45,up
42.49,0.0,1.34,1.3075,1.0,芜湖市,340200,55,up,31.75,46,up
43.61,0.0,1.34,1.3137,3.0,连云港市,320700,51,up,32.64,47,up
40.48,0.0,1.34,1.3121,2.0,新乡市,410700,53,up,30.31,48,up
48.46,0.0,1.34,1.3222,0.0,苏州市,320500,44,down,36.29,49,flat
42.61,0.0,1.33,1.3194,1.0,湛江市,440800,45,down,31.96,50,up
44.03,0.0,1.33,1.3001,5.0,惠州市,441300,61,up,33.04,51,up
46.48,0.0,1.33,1.3135,1.0,无锡市,320200,52,flat,34.87,52,up
44.78,0.0,1.33,1.2912,-1.0,东莞市,441900,63,up,33.66,53,down
46.82,0.0,1.33,1.3074,3.0,镇江市,321100,56,up,35.28,54,up
43.54,0.0,1.33,1.2883,3.0,韶关市,440200,64,up,32.82,55,up
41.28,0.0,1.33,1.3226,-1.0,保定市,130600,41,down,31.12,56,down
51.1,0.0,1.33,1.3012,-1.0,珠海市,440400,59,up,38.55,57,down
47.28,0.0,1.33,1.3032,-2.0,江门市,440700,58,flat,35.66,58,down
47.89,0.0,1.32,1.3172,-2.0,天津市,120000,46,down,36.15,59,down
42.83,0.0,1.32,1.3164,0.0,宁波市,330200,47,down,32.44,60,flat
43.08,0.0,1.32,1.2913,1.0,泰安市,370900,62,up,32.63,61,up
47.66,0.0,1.32,1.3033,-11.0,重庆市,500000,57,down,36.19,62,down
42.53,0.0,1.31,1.3093,0.0,嘉兴市,330400,54,down,32.42,63,flat
43.09,0.0,1.31,1.3003,-26.0,廊坊市,131000,60,down,32.91,64,down
46.36,0.0,1.3,1.288,2.0,常州市,320400,66,up,35.71,65,up
47.68,0.0,1.3,1.2612,1.0,张家口市,130700,76,up,36.76,66,up
44.96,0.0,1.3,1.2883,1.0,邢台市,130500,65,down,34.68,67,up
43.34,0.0,1.29,1.2674,-7.0,茂名市,440900,74,up,33.47,68,down
47.82,0.0,1.29,1.2756,1.0,济宁市,370800,72,up,37.05,69,up
45.76,0.0,1.29,1.2761,4.0,徐州市,320300,71,up,35.48,70,up
44.42,0.0,1.29,1.2873,-8.0,哈尔滨市,230100,67,down,34.46,71,down
47.39,0.0,1.29,1.2855,1.0,扬州市,321000,69,down,36.78,72,up
44.3,0.0,1.29,1.2871,5.0,西宁市,630100,68,down,34.44,73,up
49.86,0.0,1.28,1.2652,2.0,太原市,140100,75,up,38.83,74,up
45.29,0.0,1.28,1.2775,-7.0,青岛市,370200,70,down,35.27,75,down
48.85,0.0,1.28,1.2505,1.0,厦门市,350200,78,up,38.17,76,up
48.23,0.0,1.27,1.2717,5.0,临沂市,371300,73,down,38.12,77,up
39.8,0.0,1.26,1.2559,-3.0,汕头市,440500,77,down,31.57,78,down
41.19,0.0,1.26,1.2373,0.0,三亚市,460200,83,up,32.76,79,flat
47.09,0.0,1.26,1.2338,1.0,肇庆市,441200,84,up,37.49,80,up
42.28,0.0,1.26,1.2269,6.0,德州市,371400,85,up,33.66,81,up
45.12,0.0,1.25,1.2496,4.0,洛阳市,410300,80,down,36.06,82,up
50.89,0.0,1.25,1.2463,3.0,泰州市,321200,82,down,40.69,83,up
50.79,0.0,1.25,1.2504,3.0,南通市,320600,79,down,40.67,84,up
48.87,0.0,1.24,1.2486,2.0,郑州市,410100,81,down,39.31,85,up
46.82,0.0,1.23,1.2094,3.0,泉州市,350500,87,up,37.92,86,up
42.9,0.0,1.23,1.2176,-4.0,广州市,440100,86,down,34.91,87,down
41.97,0.0,1.21,1.2079,-4.0,邯郸市,130400,88,flat,34.55,88,down
44.06,0.0,1.21,1.1999,4.0,合肥市,340100,89,flat,36.47,89,up
46.78,0.0,1.21,1.1989,-3.0,淮安市,320800,90,flat,38.79,90,down
42.62,0.0,1.2,1.1959,1.0,兰州市,620100,92,up,35.43,91,up
48.11,0.0,1.2,1.1965,-5.0,石家庄市,130100,91,down,40.12,92,down
48.44,0.0,1.19,1.1846,1.0,武汉市,420100,93,flat,40.72,93,up
46.75,0.0,1.19,1.1813,0.0,福州市,350100,94,flat,39.3,94,flat
51.85,0.0,1.16,1.1392,-3.0,呼和浩特市,150100,96,up,44.84,95,down
40.35,0.0,1.13,1.0758,-3.0,伊犁州,654000,99,up,35.72,96,down
43.21,0.0,1.12,1.1425,-13.0,沧州市,130900,95,down,38.58,97,down
50.63,0.0,1.09,1.1062,-1.0,乌鲁木齐市,650100,97,down,46.35,98,down
47.02,0.0,1.05,1.0876,5.0,大同市,140200,98,down,44.87,99,up
