freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
46.72,0.0,2.35,2.3844,9.0,长春市,220100,0,flat,19.92,0,up
46.04,0.0,2.13,2.1483,-3.0,大连市,210200,1,flat,21.62,1,down
45.04,0.0,2.08,1.953,18.0,中山市,442000,3,up,21.67,2,up
45.26,0.0,2.07,2.0311,0.0,青岛市,370200,2,down,21.86,3,flat
42.98,0.0,1.95,1.8794,-7.0,沈阳市,210100,4,flat,21.99,4,down
43.06,0.0,1.93,1.7641,10.0,深圳市,440300,5,flat,22.36,5,up
45.23,0.0,1.93,1.7575,22.0,佛山市,440600,6,flat,23.49,6,up
44.05,0.0,1.86,1.7291,20.0,惠州市,441300,9,up,23.63,7,up
39.62,0.0,1.82,1.6789,16.0,温州市,330300,16,up,21.82,8,up
47.65,0.0,1.81,1.6654,-1.0,重庆市,500000,18,up,26.3,9,down
46.06,0.0,1.79,1.7459,7.0,烟台市,370600,7,down,25.67,10,up
45.89,0.0,1.79,1.7046,-3.0,济南市,370100,11,flat,25.59,11,down
47.89,0.0,1.79,1.7405,-10.0,天津市,120000,8,down,26.73,12,down
45.91,0.0,1.79,1.7024,-5.0,北京市,110000,12,down,25.71,13,down
45.86,0.0,1.77,1.6854,10.0,台州市,331000,15,up,25.92,14,up
37.76,0.0,1.75,1.6863,-4.0,海口市,460100,14,down,21.55,15,down
41.81,0.0,1.75,1.6884,2.0,清远市,441800,13,down,23.87,16,up
42.65,0.0,1.74,1.6254,0.0,长沙市,430100,22,up,24.49,17,flat
41.74,0.0,1.74,1.6784,-3.0,德阳市,510600,17,down,24.02,18,down
41.43,0.0,1.71,1.6485,-24.0,咸阳市,610400,20,up,24.25,19,down
43.71,0.0,1.71,1.6314,0.0,西安市,610100,21,up,25.63,20,flat
46.45,0.0,1.7,1.7151,6.0,无锡市,320200,10,down,27.3,21,up
45.23,0.0,1.68,1.5916,-11.0,成都市,510100,28,up,26.91,22,down
48.49,0.0,1.68,1.6127,3.0,苏州市,320500,23,flat,28.95,23,up
46.15,0.0,1.67,1.653,2.0,潍坊市,370700,19,down,27.57,24,up
42.53,0.0,1.66,1.608,1.0,嘉兴市,330400,24,down,25.68,25,up
47.74,0.0,1.66,1.4997,1.0,贵阳市,520100,41,up,28.83,26,up
42.85,0.0,1.64,1.5989,8.0,宁波市,330200,25,down,26.05,27,up
47.3,0.0,1.63,1.598,-1.0,江门市,440700,26,down,29.03,28,down
48.89,0.0,1.63,1.5506,-5.0,厦门市,350200,33,up,30.04,29,down
42.69,0.0,1.62,1.5908,2.0,衢州市,330800,29,down,26.3,30,up
40.46,0.0,1.61,1.5927,1.0,宿迁市,321300,27,down,25.09,31,up
41.29,0.0,1.61,1.5554,-10.0,保定市,130600,31,down,25.72,32,down
49.87,0.0,1.6,1.4737,11.0,太原市,140100,45,up,31.11,33,up
38.96,0.0,1.6,1.538,1.0,柳州市,450200,34,flat,24.31,34,up
47.02,0.0,1.59,1.5182,-6.0,唐山市,130200,36,up,29.55,35,down
45.67,0.0,1.59,1.5292,-7.0,南京市,320100,35,down,28.74,36,down
41.33,0.0,1.59,1.5526,-11.0,上海市,310000,32,down,26.08,37,down
38.37,0.0,1.58,1.5009,-23.0,南阳市,411300,40,up,24.25,38,down
46.38,0.0,1.58,1.5695,3.0,常州市,320400,30,down,29.39,39,up
