freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
43.01,0.0,2.14,2.1674,12.0,深圳市,440300,1,up,20.12,0,up
46.73,0.0,2.08,2.2026,20.0,长春市,220100,0,down,22.49,1,up
45.18,0.0,2.06,2.0995,35.0,佛山市,440600,2,flat,21.97,2,up
47.62,0.0,1.98,2.0084,-5.0,重庆市,500000,3,flat,24.04,3,down
47.71,0.0,1.89,1.8862,-1.0,贵阳市,520100,7,up,25.19,4,down
45.19,0.0,1.87,1.8833,-12.0,成都市,510100,8,up,24.13,5,down
45.04,0.0,1.87,1.9711,3.0,中山市,442000,4,down,24.06,6,up
45.25,0.0,1.83,1.9561,1.0,青岛市,370200,5,down,24.69,7,up
42.62,0.0,1.79,1.8814,-1.0,长沙市,430100,9,up,23.77,8,down
45.9,0.0,1.79,1.8328,-5.0,北京市,110000,10,up,25.68,9,down
46.05,0.0,1.78,1.9061,-5.0,大连市,210200,6,down,25.84,10,down
45.87,0.0,1.73,1.8206,-4.0,济南市,370100,12,up,26.51,11,down
39.59,0.0,1.73,1.8253,15.0,温州市,330300,11,down,22.89,12,up
44.04,0.0,1.73,1.8194,19.0,惠州市,441300,13,flat,25.5,13,up
40.39,0.0,1.71,1.7502,2.0,昆明市,530100,16,up,23.64,14,up
43.69,0.0,1.7,1.7458,-3.0,西安市,610100,18,up,25.72,15,down
42.97,0.0,1.69,1.8041,-6.0,沈阳市,210100,14,down,25.44,16,down
45.86,0.0,1.68,1.7327,10.0,台州市,331000,19,up,27.22,17,up
37.75,0.0,1.67,1.7707,-6.0,海口市,460100,15,down,22.62,18,down
42.89,0.0,1.66,1.6829,5.0,广州市,440100,25,up,25.81,19,up
41.74,0.0,1.66,1.7469,-1.0,德阳市,510600,17,down,25.19,20,down
41.4,0.0,1.64,1.73,-26.0,咸阳市,610400,20,down,25.22,21,down
48.47,0.0,1.64,1.6903,4.0,苏州市,320500,24,up,29.54,22,up
49.83,0.0,1.63,1.7213,12.0,太原市,140100,21,down,30.57,23,up
46.16,0.0,1.62,1.6603,-1.0,南昌市,360100,26,up,28.52,24,down
46.09,0.0,1.6,1.7032,5.0,烟台市,370600,22,down,28.77,25,up
41.32,0.0,1.6,1.6154,-10.0,上海市,310000,32,up,25.89,26,down
40.46,0.0,1.59,1.613,3.0,宿迁市,321300,33,up,25.48,27,up
47.88,0.0,1.58,1.6922,-7.0,天津市,120000,23,down,30.23,28,down
41.61,0.0,1.58,1.6431,6.0,赣州市,360700,28,down,26.37,29,up
42.54,0.0,1.57,1.5751,-2.0,茂名市,440900,38,up,27.11,30,down
48.9,0.0,1.57,1.6238,-8.0,厦门市,350200,30,down,31.22,31,down
42.3,0.0,1.56,1.5335,16.0,南充市,511300,52,up,27.04,32,up
42.84,0.0,1.56,1.6188,5.0,宁波市,330200,31,down,27.46,33,up
45.64,0.0,1.56,1.6114,-10.0,南京市,320100,34,flat,29.27,34,down
41.68,0.0,1.56,1.5959,3.0,杭州市,330100,37,up,26.77,35,up
42.53,0.0,1.55,1.6599,1.0,嘉兴市,330400,27,down,27.48,36,up
41.45,0.0,1.54,1.5727,22.0,银川市,640100,39,up,26.83,37,up
41.79,0.0,1.54,1.6405,2.0,清远市,441800,29,down,27.11,38,up
46.23,0.0,1.53,1.554,-9.0,绵阳市,510700,44,up,30.14,39,down
46.44,0.0,1.53,1.6042,2.0,无锡市,320200,36,down,30.33,40,up
51.19,0.0,1.53,1.5609,-12.0,珠海市,440400,41,flat,33.47,41,down
38.28,0.0,1.53,1.5625,-1.0,桂林市,450300,40,down,25.09,42,down
47.12,0.0,1.51,1.6066,2.0,肇庆市,441200,35,down,31.14,43,up
39.97,0.0,1.51,1.5342,2.0,汕头市,440500,50,up,26.55,44,up
41.63,0.0,1.51,1.535,-3.0,漳州市,350600,49,up,27.65,45,down
42.69,0.0,1.51,1.5581,1.0,衢州市,330800,43,down,28.36,46,up
47.28,0.0,1.5,1.5467,-4.0,江门市,440700,46,down,31.54,47,down
38.35,0.0,1.5,1.5222,-18.0,南阳市,411300,53,up,25.59,48,down
47.03,0.0,1.49,1.5508,-4.0,唐山市,130200,45,down,31.47,49,down
42.45,0.0,1.49,1.4596,-9.0,香港,810000,64,up,28.48,50,down
