freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.44,0.0,2.37,2.4153,10.0,咸阳市,610400,0,flat,17.46,0,up
49.82,0.0,2.25,2.3275,27.0,太原市,140100,1,flat,22.13,1,up
42.98,0.0,2.14,2.1812,9.0,深圳市,440300,5,up,20.1,2,up
37.69,0.0,2.13,2.2497,-9.0,海口市,460100,3,flat,17.67,3,down
47.03,0.0,1.99,2.2142,18.0,肇庆市,441200,4,flat,23.62,4,up
43.65,0.0,1.99,2.0501,5.0,西安市,610100,8,up,21.96,5,up
47.62,0.0,1.98,2.0662,-3.0,重庆市,500000,7,up,23.99,6,down
44.0,0.0,1.98,2.0945,21.0,惠州市,441300,6,down,22.26,7,up
41.73,0.0,1.97,2.2546,-14.0,清远市,441800,2,down,21.16,8,down
41.37,0.0,1.97,2.0057,40.0,银川市,640100,9,flat,21.05,9,up
42.28,0.0,1.95,1.9529,37.0,南充市,511300,14,up,21.67,10,up
45.18,0.0,1.94,1.9946,-2.0,成都市,510100,10,down,23.25,11,down
40.33,0.0,1.87,1.9099,-1.0,昆明市,530100,16,up,21.56,12,down
45.13,0.0,1.86,1.9921,6.0,佛山市,440600,11,down,24.23,13,up
42.47,0.0,1.83,1.9649,5.0,茂名市,440900,12,down,23.18,14,up
44.97,0.0,1.81,1.9589,3.0,中山市,442000,13,down,24.78,15,up
42.57,0.0,1.79,1.906,-3.0,长沙市,430100,17,up,23.74,16,down
44.75,0.0,1.79,1.861,0.0,东莞市,441900,22,up,25.05,17,flat
45.85,0.0,1.78,1.8974,-2.0,济南市,370100,19,up,25.72,18,down
47.68,0.0,1.76,1.8367,6.0,贵阳市,520100,23,up,27.04,19,up
41.7,0.0,1.76,1.9113,-4.0,德阳市,510600,15,down,23.68,20,down
42.85,0.0,1.75,1.7777,-4.0,广州市,440100,31,up,24.54,21,down
41.15,0.0,1.75,1.7502,8.0,三亚市,460200,35,up,23.56,22,up
41.68,0.0,1.73,1.7575,4.0,南宁市,450100,33,up,24.06,23,up
48.86,0.0,1.73,1.8809,-1.0,厦门市,350200,20,down,28.29,24,down
42.56,0.0,1.73,1.8633,2.0,湛江市,440800,21,down,24.66,25,up
40.45,0.0,1.72,1.8166,-3.0,宿迁市,321300,24,down,23.5,26,down
45.9,0.0,1.7,1.8062,-4.0,北京市,110000,25,down,26.99,27,down
45.31,0.0,1.7,1.7916,3.0,青岛市,370200,28,flat,26.66,28,up
38.9,0.0,1.7,1.7977,4.0,柳州市,450200,26,down,22.89,29,up
43.51,0.0,1.68,1.9057,10.0,韶关市,440200,18,down,25.85,30,up
38.25,0.0,1.67,1.7475,3.0,桂林市,450300,36,up,22.87,31,up
42.97,0.0,1.67,1.7535,6.0,沈阳市,210100,34,up,25.75,32,up
51.17,0.0,1.67,1.7784,-15.0,珠海市,440400,30,down,30.67,33,down
46.66,0.0,1.66,1.7727,7.0,长春市,220100,32,down,28.04,34,up
46.05,0.0,1.66,1.7971,-5.0,大连市,210200,27,down,27.74,35,down
46.18,0.0,1.64,1.7184,-5.0,绵阳市,510700,38,up,28.1,36,down
41.58,0.0,1.63,1.7113,-4.0,赣州市,360700,39,up,25.5,37,down
47.22,0.0,1.62,1.72,-3.0,江门市,440700,37,down,29.17,38,down
41.57,0.0,1.61,1.6872,3.0,漳州市,350600,40,up,25.75,39,up
41.31,0.0,1.61,1.6527,-8.0,上海市,310000,43,up,25.67,40,down
39.83,0.0,1.6,1.7862,0.0,汕头市,440500,29,down,24.94,41,flat
52.64,0.0,1.59,1.6755,-1.0,鄂尔多斯市,150600,41,down,33.19,42,down
38.31,0.0,1.58,1.65,-3.0,南阳市,411300,44,up,24.22,43,down
46.15,0.0,1.56,1.6727,-1.0,南昌市,360100,42,down,29.62,44,down
45.8,0.0,1.54,1.5981,5.0,徐州市,320300,46,up,29.72,45,up
47.89,0.0,1.54,1.5726,-9.0,天津市,120000,47,up,31.18,46,down
