freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
45.05,0.0,1.51,1.5469,22.0,中山市,442000,0,flat,29.82,0,up
42.51,0.0,1.49,1.5348,7.0,茂名市,440900,1,flat,28.51,1,up
42.1,0.0,1.49,1.4821,-4.0,香港,810000,2,flat,28.25,2,down
40.5,0.0,1.44,1.4704,-6.0,宿迁市,321300,3,flat,28.2,3,down
41.42,0.0,1.43,1.4444,13.0,银川市,640100,4,flat,28.87,4,up
46.04,0.0,1.42,1.4127,1.0,大连市,210200,6,up,32.44,5,up
41.74,0.0,1.4,1.3993,1.0,德阳市,510600,7,up,29.87,6,up
41.61,0.0,1.39,1.4387,3.0,漳州市,350600,5,down,29.98,7,up
46.72,0.0,1.37,1.3687,-4.0,长春市,220100,10,up,34.05,8,down
43.14,0.0,1.36,1.3485,7.0,泰安市,370900,13,up,31.68,9,up
40.35,0.0,1.34,1.3445,2.0,昆明市,530100,15,up,30.1,10,up
38.92,0.0,1.34,1.3746,0.0,柳州市,450200,9,down,29.07,11,flat
45.89,0.0,1.33,1.3344,1.0,济南市,370100,19,up,34.45,12,up
38.29,0.0,1.33,1.3542,0.0,桂林市,450300,12,down,28.75,13,flat
42.39,0.0,1.33,1.3595,5.0,南充市,511300,11,down,31.95,14,up
47.3,0.0,1.33,1.3393,5.0,江门市,440700,17,up,35.67,15,up
41.45,0.0,1.32,1.3395,-5.0,咸阳市,610400,16,flat,31.32,16,down
42.98,0.0,1.32,1.3142,-7.0,沈阳市,210100,24,up,32.49,17,down
52.88,0.0,1.32,1.3779,2.0,鄂尔多斯市,150600,8,down,40.02,18,up
45.2,0.0,1.32,1.3236,0.0,成都市,510100,22,up,34.26,19,flat
42.65,0.0,1.31,1.333,2.0,湛江市,440800,20,flat,32.43,20,up
40.47,0.0,1.31,1.3248,-3.0,新乡市,410700,21,flat,30.8,21,down
39.61,0.0,1.31,1.3003,3.0,温州市,330300,28,up,30.22,22,up
37.72,0.0,1.31,1.3473,-2.0,海口市,460100,14,down,28.84,23,down
41.81,0.0,1.31,1.3348,8.0,清远市,441800,18,down,32.03,24,up
42.74,0.0,1.3,1.3041,0.0,衢州市,330800,26,up,32.78,25,flat
43.67,0.0,1.3,1.3016,1.0,西安市,610100,27,up,33.56,26,up
45.93,0.0,1.3,1.2956,-1.0,台州市,331000,31,up,35.38,27,down
44.31,0.0,1.29,1.308,-4.0,哈尔滨市,230100,25,down,34.23,28,down
47.11,0.0,1.29,1.298,0.0,唐山市,130200,29,flat,36.49,29,flat
43.1,0.0,1.29,1.3189,-4.0,廊坊市,131000,23,down,33.47,30,down
47.71,0.0,1.29,1.2907,1.0,贵阳市,520100,33,up,37.12,31,up
46.25,0.0,1.28,1.294,1.0,潍坊市,370700,32,flat,36.03,32,up
43.46,0.0,1.28,1.2737,1.0,淄博市,370300,41,up,34.01,33,up
41.65,0.0,1.28,1.2825,1.0,赣州市,360700,36,up,32.6,34,up
41.68,0.0,1.28,1.2625,1.0,杭州市,330100,51,up,32.66,35,up
43.01,0.0,1.28,1.2976,1.0,深圳市,440300,30,down,33.72,36,up
42.6,0.0,1.27,1.2683,0.0,绍兴市,330600,46,up,33.47,37,flat
47.91,0.0,1.27,1.2251,0.0,张家口市,130700,76,up,37.68,38,flat
38.32,0.0,1.27,1.2874,-1.0,南阳市,411300,35,down,30.14,39,down
42.56,0.0,1.27,1.2753,0.0,嘉兴市,330400,40,flat,33.47,40,flat
41.31,0.0,1.27,1.2621,-1.0,上海市,310000,52,up,32.5,41,down
41.66,0.0,1.27,1.2808,2.0,南宁市,450100,37,down,32.88,42,up
42.61,0.0,1.27,1.2886,-3.0,芜湖市,340200,34,down,33.63,43,down
45.32,0.0,1.27,1.2711,-1.0,青岛市,370200,43,down,35.81,44,down
42.86,0.0,1.26,1.2766,1.0,广州市,440100,39,down,33.93,45,up
41.19,0.0,1.26,1.2788,-1.0,三亚市,460200,38,down,32.63,46,down
47.65,0.0,1.26,1.2661,0.0,重庆市,500000,48,up,37.77,47,flat
46.32,0.0,1.26,1.2723,-1.0,绵阳市,510700,42,down,36.8,48,down
45.21,0.0,1.26,1.2686,-3.0,佛山市,440600,45,down,35.93,49,down
41.28,0.0,1.26,1.2488,-2.0,滁州市,341100,61,up,32.86,50,down
46.17,0.0,1.26,1.2585,0.0,烟台市,370600,57,up,36.76,51,flat
45.83,0.0,1.25,1.2611,4.0,徐州市,320300,55,up,36.52,52,up
49.09,0.0,1.25,1.2613,6.0,郑州市,410100,53,flat,39.14,53,up
42.61,0.0,1.25,1.2693,-1.0,长沙市,430100,44,down,34.05,54,down
44.82,0.0,1.25,1.2675,1.0,东莞市,441900,47,down,35.9,55,up
39.91,0.0,1.25,1.2566,1.0,汕头市,440500,58,up,31.98,56,up
43.39,0.0,1.25,1.242,0.0,湖州市,330500,66,up,34.8,57,flat
42.86,0.0,1.25,1.2397,0.0,宁波市,330200,67,up,34.39,58,flat
48.14,0.0,1.25,1.2375,0.0,济宁市,370800,68,up,38.66,59,flat
46.91,0.0,1.24,1.2553,0.0,镇江市,321100,59,down,37.77,60,flat
41.34,0.0,1.24,1.2602,-1.0,保定市,130600,56,down,33.29,61,down
47.22,0.0,1.24,1.2642,3.0,肇庆市,441200,49,down,38.05,62,up
