freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.44,0.0,1.63,1.632,7.0,咸阳市,610400,1,up,25.4,0,up
42.51,0.0,1.59,1.642,11.0,茂名市,440900,0,down,26.67,1,up
41.39,0.0,1.51,1.5081,17.0,银川市,640100,2,flat,27.35,2,up
41.58,0.0,1.48,1.4925,-1.0,漳州市,350600,3,flat,28.19,3,down
42.29,0.0,1.47,1.4751,13.0,南充市,511300,4,flat,28.77,4,up
40.35,0.0,1.46,1.47,4.0,昆明市,530100,5,flat,27.6,5,up
45.21,0.0,1.44,1.4317,1.0,成都市,510100,7,up,31.44,6,up
46.66,0.0,1.43,1.4292,2.0,长春市,220100,8,up,32.55,7,up
41.76,0.0,1.43,1.441,0.0,德阳市,510600,6,down,29.16,8,flat
42.99,0.0,1.43,1.4244,-3.0,深圳市,440300,10,up,30.06,9,down
45.02,0.0,1.41,1.3998,-3.0,中山市,442000,14,up,31.94,10,down
37.71,0.0,1.41,1.4253,-4.0,海口市,460100,9,down,26.75,11,down
52.72,0.0,1.41,1.407,3.0,鄂尔多斯市,150600,12,flat,37.47,12,up
39.6,0.0,1.4,1.3966,3.0,温州市,330300,15,up,28.25,13,up
40.47,0.0,1.4,1.3858,1.0,宿迁市,321300,17,up,28.99,14,up
46.07,0.0,1.4,1.4013,-1.0,大连市,210200,13,down,33.02,15,down
42.64,0.0,1.39,1.4107,1.0,湛江市,440800,11,down,30.78,16,up
43.09,0.0,1.38,1.3669,-7.0,廊坊市,131000,22,up,31.13,17,down
42.6,0.0,1.38,1.3869,1.0,长沙市,430100,16,down,30.85,18,up
45.89,0.0,1.38,1.385,-2.0,济南市,370100,18,down,33.26,19,down
39.88,0.0,1.38,1.3792,2.0,汕头市,440500,19,down,28.97,20,up
43.66,0.0,1.36,1.3709,4.0,西安市,610100,20,down,32.0,21,up
40.41,0.0,1.36,1.3616,0.0,新乡市,410700,27,up,29.62,22,flat
