freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
41.72,0.0,2.5,2.5376,12.0,清远市,441800,0,flat,16.66,0,up
41.41,0.0,2.42,2.315,13.0,咸阳市,610400,1,flat,17.12,1,up
47.02,0.0,2.31,2.2116,20.0,肇庆市,441200,3,up,20.37,2,up
49.84,0.0,2.28,2.1576,26.0,太原市,140100,5,up,21.9,3,up
37.68,0.0,2.27,2.143,-6.0,海口市,460100,6,up,16.63,4,down
43.99,0.0,2.19,2.1697,21.0,惠州市,441300,4,down,20.09,5,up
42.98,0.0,2.17,2.0645,10.0,深圳市,440300,9,up,19.84,6,up
41.68,0.0,2.13,2.0826,-2.0,德阳市,510600,7,flat,19.6,7,down
43.5,0.0,2.12,2.2423,22.0,韶关市,440200,2,down,20.51,8,up
47.61,0.0,2.09,2.0292,-4.0,重庆市,500000,11,up,22.8,9,down
45.12,0.0,2.07,2.0248,10.0,佛山市,440600,12,up,21.8,10,up
43.65,0.0,2.07,1.9763,7.0,西安市,610100,20,up,21.14,11,up
42.47,0.0,2.06,2.0037,8.0,茂名市,440900,16,up,20.64,12,up
45.17,0.0,2.02,2.0076,-2.0,成都市,510100,15,up,22.32,13,down
44.94,0.0,2.02,1.9883,1.0,中山市,442000,18,up,22.23,14,up
45.84,0.0,2.0,2.0774,-3.0,济南市,370100,8,down,22.95,15,down
48.86,0.0,1.98,1.9876,2.0,厦门市,350200,19,up,24.73,16,up
42.57,0.0,1.97,2.0098,-4.0,长沙市,430100,14,down,21.61,17,down
46.03,0.0,1.97,2.0371,1.0,大连市,210200,10,down,23.4,18,up
41.38,0.0,1.96,1.8439,38.0,银川市,640100,31,up,21.09,19,up
42.55,0.0,1.96,1.8772,5.0,湛江市,440800,29,up,21.74,20,up
44.74,0.0,1.94,1.9173,1.0,东莞市,441900,24,up,23.05,21,up
40.32,0.0,1.93,1.8828,0.0,昆明市,530100,27,up,20.88,22,flat
39.79,0.0,1.91,2.0129,0.0,汕头市,440500,13,down,20.79,23,flat
45.89,0.0,1.91,1.9562,-2.0,北京市,110000,22,down,24.09,24,down
46.64,0.0,1.9,2.0001,7.0,长春市,220100,17,down,24.54,25,up
45.27,0.0,1.9,1.965,2.0,青岛市,370200,21,down,23.87,26,up
42.29,0.0,1.89,1.8192,33.0,南充市,511300,33,up,22.37,27,up
47.68,0.0,1.89,1.8811,6.0,贵阳市,520100,28,flat,25.22,28,up
40.47,0.0,1.88,1.9481,-6.0,宿迁市,321300,23,down,21.58,29,down
51.13,0.0,1.86,1.8406,-14.0,珠海市,440400,32,up,27.53,30,down
42.96,0.0,1.84,1.9081,3.0,沈阳市,210100,26,down,23.32,31,up
38.89,0.0,1.83,1.7778,5.0,柳州市,450200,37,up,21.22,32,up
41.57,0.0,1.81,1.913,-2.0,赣州市,360700,25,down,22.91,33,down
38.26,0.0,1.8,1.7406,2.0,桂林市,450300,41,up,21.28,34,up
42.85,0.0,1.78,1.7166,-4.0,广州市,440100,44,up,24.12,35,down
46.17,0.0,1.77,1.7846,-3.0,绵阳市,510700,36,flat,26.02,36,down
41.56,0.0,1.77,1.8468,3.0,漳州市,350600,30,down,23.43,37,up
47.2,0.0,1.76,1.7502,-6.0,江门市,440700,39,up,26.77,38,down
46.14,0.0,1.74,1.8096,-2.0,南昌市,360100,34,down,26.51,39,down
52.53,0.0,1.73,1.7103,1.0,鄂尔多斯市,150600,46,up,30.29,40,up
41.15,0.0,1.73,1.6144,6.0,三亚市,460200,57,up,23.76,41,up
41.82,0.0,1.73,1.7911,13.0,衡阳市,430400,35,down,24.16,42,up
41.67,0.0,1.73,1.6268,5.0,南宁市,450100,55,up,24.16,43,up
38.31,0.0,1.72,1.7578,-4.0,南阳市,411300,38,down,22.21,44,down
41.31,0.0,1.7,1.7124,-10.0,上海市,310000,45,flat,24.34,45,down
45.78,0.0,1.66,1.7299,3.0,徐州市,320300,42,down,27.55,46,up
46.14,0.0,1.65,1.7217,3.0,潍坊市,370700,43,down,27.96,47,up
39.58,0.0,1.64,1.7422,3.0,温州市,330300,40,down,24.07,48,up
47.88,0.0,1.64,1.7009,-9.0,天津市,120000,47,down,29.21,49,down
48.36,0.0,1.63,1.6412,1.0,盐城市,320900,52,up,29.6,50,up
48.47,0.0,1.59,1.6564,-7.0,苏州市,320500,50,down,30.4,51,down
41.27,0.0,1.59,1.6661,-12.0,保定市,130600,49,down,25.96,52,down
46.09,0.0,1.58,1.6922,-2.0,烟台市,370600,48,down,29.12,53,down
43.02,0.0,1.58,1.6146,-19.0,廊坊市,131000,56,up,27.21,54,down
47.03,0.0,1.57,1.644,-7.0,唐山市,130200,51,down,29.89,55,down
46.81,0.0,1.57,1.6125,-4.0,泉州市,350500,58,up,29.77,56,down
45.58,0.0,1.57,1.6062,-21.0,南京市,320100,59,up,29.03,57,down
42.84,0.0,1.56,1.6399,3.0,宁波市,330200,53,down,27.47,58,up
41.66,0.0,1.55,1.5902,0.0,杭州市,330100,61,up,26.9,59,flat
40.35,0.0,1.55,1.5263,-7.0,新乡市,410700,70,up,26.11,60,down
46.45,0.0,1.53,1.6338,-16.0,无锡市,320200,54,down,30.27,61,down
43.61,0.0,1.53,1.5757,-1.0,连云港市,320700,62,flat,28.48,62,down
42.52,0.0,1.52,1.5999,1.0,嘉兴市,330400,60,down,27.9,63,up
41.16,0.0,1.51,1.5532,-14.0,滁州市,341100,66,up,27.26,64,down
44.04,0.0,1.5,1.5358,8.0,合肥市,340100,67,up,29.32,65,up
42.72,0.0,1.5,1.5702,2.0,衢州市,330800,65,down,28.48,66,up
46.37,0.0,1.49,1.5754,-12.0,常州市,320400,63,down,31.04,67,down
42.56,0.0,1.48,1.5354,-5.0,芜湖市,340200,68,flat,28.82,68,down
48.03,0.0,1.48,1.529,4.0,济宁市,370800,69,flat,32.54,69,up
43.39,0.0,1.47,1.5254,-8.0,淄博市,370300,71,up,29.43,70,down
50.8,0.0,1.47,1.5727,-4.0,南通市,320600,64,down,34.5,71,down
47.88,0.0,1.46,1.4945,2.0,张家口市,130700,75,up,32.86,72,up
47.96,0.0,1.46,1.5194,-18.0,石家庄市,130100,74,up,32.92,73,down
46.84,0.0,1.45,1.5219,-19.0,镇江市,321100,72,down,32.36,74,down
47.37,0.0,1.44,1.5212,-12.0,扬州市,321000,73,down,32.89,75,down
42.58,0.0,1.44,1.4821,3.0,绍兴市,330600,76,flat,29.62,76,up
44.9,0.0,1.43,1.4638,-3.0,邢台市,130500,79,up,31.33,77,down
45.9,0.0,1.42,1.4761,-10.0,台州市,331000,77,down,32.31,78,down
45.11,0.0,1.42,1.4233,14.0,洛阳市,410300,83,up,31.82,79,up
48.43,0.0,1.4,1.4208,-12.0,武汉市,420100,85,up,34.55,80,down
43.09,0.0,1.4,1.4689,-5.0,泰安市,370900,78,down,30.76,81,down
44.34,0.0,1.39,1.4618,-11.0,哈尔滨市,230100,80,down,31.8,82,down
46.72,0.0,1.39,1.4416,-6.0,淮安市,320800,82,down,33.54,83,down
48.9,0.0,1.38,1.3771,8.0,郑州市,410100,88,up,35.41,84,up
46.66,0.0,1.38,1.3785,-8.0,福州市,350100,87,up,33.91,85,down
